   1: x:1.2662, y:1.0307, t:-0.7027
   2: x:1.3224, y:0.6016, t:-0.5164
   3: x:-1.3021, y:1.6854, t:0.6217
   4: x:-1.2704, y:1.8682, t:0.5879
   5: x:-1.2579, y:1.8245, t:0.6523
   6: x:-1.2465, y:1.6718, t:0.6327
   7: x:-1.3331, y:1.9051, t:0.7222
   8: x:-1.2825, y:1.8129, t:0.7137
   9: x:-1.2828, y:1.2943, t:0.5522
  10: x:-1.2421, y:1.3152, t:0.5926
  11: x:-1.3338, y:1.5313, t:0.6592
  12: x:-1.3284, y:1.8446, t:0.7534
  13: x:-1.2696, y:1.9952, t:0.7464
  14: x:-1.3025, y:2.1954, t:0.7735
  15: x:-1.2893, y:1.7505, t:0.6914
  16: x:-1.2454, y:1.5615, t:0.6568
  17: x:-1.2954, y:1.7054, t:0.7182
  18: x:-1.2702, y:1.6358, t:0.6663
  19: x:-1.3269, y:2.0679, t:0.7481
  20: x:-1.2680, y:1.5970, t:0.5993
  21: x:-1.3053, y:1.9781, t:0.7080
  22: x:-1.2802, y:1.7430, t:0.7057
  23: x:-1.2989, y:1.8222, t:0.6844
  24: x:-1.2911, y:1.4838, t:0.6353
  25: x:-1.3102, y:1.7051, t:0.7237
  26: x:-1.2600, y:1.5769, t:0.6133
  27: x:-1.2474, y:1.6208, t:0.6534
  28: x:-1.3040, y:1.3199, t:0.5822
  29: x:-1.2758, y:1.1962, t:0.4897
  30: x:-1.2496, y:0.9152, t:0.4458
  31: x:-1.2606, y:0.9199, t:0.3945
  32: x:-1.2538, y:0.7586, t:0.3840
  33: x:-1.2822, y:0.6683, t:0.3617
  34: x:-1.3042, y:0.6899, t:0.3765
  35: x:-1.2668, y:0.6208, t:0.2763
  36: x:-1.3077, y:0.3608, t:0.3297
  37: x:-1.3325, y:0.3738, t:0.3268
  38: x:-1.2546, y:0.3149, t:0.2635
  39: x:-1.2849, y:0.2192, t:0.2127
  40: x:-1.2926, y:0.3166, t:0.1994
  41: x:-1.2784, y:0.2446, t:0.2684
  42: x:-1.2541, y:0.1951, t:0.2770
  43: x:-1.2956, y:0.2285, t:0.3105
  44: x:-1.2497, y:0.2128, t:0.1741
  45: x:-1.3217, y:0.1712, t:0.1973
  46: x:-1.2798, y:0.2797, t:0.2405
  47: x:-1.3361, y:0.2033, t:0.2680
  48: x:-1.2834, y:0.3123, t:0.2869
  49: x:-1.2509, y:0.1678, t:0.2022
  50: x:-1.3075, y:0.2649, t:0.2352
  51: x:-1.2784, y:0.2996, t:0.2760
  52: x:-1.2857, y:0.2711, t:0.2869
  53: x:-1.2674, y:0.1110, t:0.2924
  54: x:-1.3212, y:0.0829, t:0.2446
  55: x:-1.2940, y:0.1154, t:0.2598
  56: x:-1.2649, y:0.1413, t:0.2957
  57: x:-1.2587, y:0.1302, t:0.2126
  58: x:-1.2498, y:0.4163, t:0.2247
  59: x:-1.3039, y:0.2711, t:0.2436
  60: x:-1.3304, y:0.2484, t:0.2607
  61: x:-1.3222, y:0.1908, t:0.1751
  62: x:-1.2461, y:0.4801, t:0.1950
  63: x:-1.3111, y:0.7135, t:0.2512
  64: x:-1.2612, y:0.8279, t:0.2084
  65: x:-1.3130, y:1.0441, t:0.3580
  66: x:-1.2553, y:0.8651, t:0.2736
  67: x:-1.2940, y:1.2799, t:0.3871
  68: x:-1.2551, y:1.5325, t:0.4427
  69: x:-1.3324, y:1.8535, t:0.5743
  70: x:-1.2442, y:1.7058, t:0.4530
  71: x:-1.2417, y:1.7772, t:0.5389
  72: x:-1.2664, y:1.8836, t:0.5202
  73: x:-1.2510, y:2.3010, t:0.4401
  74: x:-1.3102, y:2.1109, t:0.5369
  75: x:-1.3197, y:2.0921, t:0.5942
  76: x:-1.2475, y:2.2766, t:0.6260
  77: x:-1.2797, y:1.5746, t:0.6617
  78: x:-1.2582, y:1.4979, t:0.5659
  79: x:-1.2864, y:1.1075, t:0.5773
  80: x:-1.2736, y:1.4553, t:0.6807
  81: x:-1.3082, y:1.3257, t:0.7214
  82: x:-1.3061, y:1.2421, t:0.5649
  83: x:-1.2478, y:1.6071, t:0.5765
  84: x:-1.2751, y:1.3470, t:0.7663
  85: x:-1.2917, y:1.2077, t:0.7413
  86: x:-1.3135, y:1.0511, t:0.7756
  87: x:-1.2655, y:1.0591, t:0.7077
  88: x:-1.2958, y:1.0670, t:0.6915
  89: x:-1.2808, y:1.3832, t:0.7571
  90: x:-1.3075, y:1.0944, t:0.8041
  91: x:-1.3103, y:0.8862, t:0.6858
  92: x:-1.3046, y:0.7015, t:0.7438
  93: x:-1.2534, y:0.5289, t:0.8104
  94: x:-0.7197, y:-0.7587, t:0.9870
  95: x:-0.4987, y:-0.7495, t:0.9428
  96: x:-0.4883, y:-0.7457, t:0.9583
  97: x:1.2520, y:-0.0064, t:-0.5456
