   1: x:-1.2779, y:1.3998, t:0.6280
   2: x:-1.2630, y:1.4637, t:0.5501
   3: x:-1.2672, y:1.2173, t:0.2101
   4: x:-1.3333, y:1.4402, t:0.5442
   5: x:-1.2686, y:2.5106, t:0.6608
   6: x:-0.3612, y:2.5538, t:0.9095
   7: x:-1.2465, y:2.7380, t:0.8009
   8: x:-0.4193, y:2.5454, t:0.7355
   9: x:-0.6485, y:2.5790, t:0.5927
  10: x:-0.1562, y:2.6170, t:0.5301
  11: x:0.5078, y:2.7584, t:0.4765
  12: x:0.9243, y:2.5426, t:0.3882
  13: x:0.4233, y:2.7743, t:0.4600
  14: x:1.2515, y:1.2622, t:0.3031
  15: x:0.4472, y:2.8320, t:0.6877
  16: x:1.2739, y:1.0610, t:0.3076
  17: x:1.2421, y:3.6480, t:0.6432
  18: x:1.2432, y:1.9899, t:0.4666
  19: x:-0.1182, y:2.5504, t:0.4605
  20: x:0.5143, y:2.5739, t:0.4137
  21: x:1.3004, y:0.7192, t:0.1028
  22: x:1.2659, y:1.3513, t:0.1880
  23: x:1.3165, y:1.1271, t:0.1598
  24: x:1.2880, y:1.2089, t:0.1507
  25: x:1.3075, y:2.6183, t:0.2707
  26: x:1.3099, y:0.8455, t:0.0777
  27: x:1.2683, y:1.3933, t:0.0174
  28: x:1.2539, y:1.0725, t:0.1237
  29: x:1.3085, y:0.5227, t:0.0678
  30: x:1.3147, y:0.6659, t:0.0488
  31: x:1.3238, y:0.6381, t:-0.0049
  32: x:1.3008, y:0.3289, t:0.0062
  33: x:1.2752, y:0.3215, t:-0.0390
  34: x:1.3268, y:0.1828, t:-0.0945
  35: x:1.3302, y:-0.1442, t:-0.1098
  36: x:1.2617, y:0.3264, t:-0.0816
  37: x:1.2454, y:0.2577, t:0.0460
  38: x:1.2983, y:-0.3221, t:-0.0549
  39: x:1.2503, y:0.2839, t:0.0372
  40: x:1.2938, y:0.2053, t:-0.0237
  41: x:1.2476, y:-0.1092, t:-0.0754
  42: x:1.2469, y:0.2831, t:0.0128
  43: x:1.2850, y:0.2122, t:-0.0288
  44: x:1.2703, y:-0.2391, t:-0.0744
  45: x:1.3230, y:0.2145, t:0.0838
  46: x:1.3396, y:0.2558, t:-0.0092
  47: x:1.3064, y:-0.0595, t:0.0356
  48: x:1.2464, y:0.1718, t:0.1371
  49: x:1.3217, y:0.2434, t:-0.0554
  50: x:1.2533, y:0.5181, t:0.2840
  51: x:1.3081, y:0.4057, t:0.0751
  52: x:0.7066, y:2.8933, t:0.9716
  53: x:1.2486, y:0.6473, t:0.3807
  54: x:1.2514, y:1.4143, t:0.3979
  55: x:-0.2969, y:2.5411, t:0.9510
  56: x:-0.1479, y:2.5781, t:0.7736
  57: x:-1.2728, y:0.4818, t:-0.0541
  58: x:-1.2935, y:0.5965, t:0.1144
  59: x:-1.3352, y:0.2409, t:-0.0673
  60: x:-1.2848, y:0.2527, t:0.1327
  61: x:-1.2687, y:0.2280, t:-0.1397
  62: x:-1.2456, y:0.1511, t:0.1685
  63: x:-1.2743, y:-0.1185, t:-0.0031
  64: x:-0.4969, y:-0.8162, t:0.6179
  65: x:-1.3056, y:-0.4014, t:0.2724
  66: x:-0.6602, y:-0.7822, t:0.4543
  67: x:-0.7927, y:-0.7502, t:0.5676
  68: x:-1.2736, y:-0.6656, t:0.4568
  69: x:-1.2512, y:0.2482, t:0.2390
  70: x:-1.1271, y:-0.8104, t:0.6555
  71: x:-1.2789, y:0.9494, t:-0.5465
  72: x:1.3300, y:-0.3683, t:0.7232
  73: x:-1.2635, y:0.6128, t:0.4072
  84: x:-1.2580, y:0.1046, t:0.9923
  88: x:1.2815, y:1.2052, t:0.6232
  89: x:1.2404, y:1.4352, t:0.5452
  92: x:1.2525, y:0.9626, t:0.2839
  93: x:1.2437, y:1.2636, t:0.6526
  94: x:1.2996, y:0.8766, t:0.4680
  96: x:1.2543, y:0.9068, t:0.3424
  97: x:1.2734, y:1.0270, t:0.5520
  98: x:1.2993, y:1.0999, t:0.3382
 100: x:1.2643, y:1.4093, t:0.4112
