   1: x:0.5992, y:-0.7934, t:-0.6078
   2: x:0.2641, y:-0.7872, t:-0.6474
   3: x:0.2499, y:-0.7768, t:-0.5802
   4: x:0.1361, y:-0.7772, t:-0.7336
   6: x:1.2757, y:0.7928, t:0.9992
   7: x:1.2621, y:1.1709, t:0.9372
   8: x:1.2423, y:1.3022, t:0.9326
   9: x:1.2756, y:1.5968, t:0.9648
  10: x:1.2460, y:1.6713, t:0.9727
  11: x:-0.0760, y:2.5440, t:0.9165
  12: x:1.2488, y:1.7166, t:0.9821
  13: x:1.2730, y:1.7074, t:0.9708
  14: x:1.2620, y:1.6799, t:0.9919
  15: x:-1.2547, y:0.9427, t:-0.2435
  16: x:1.2635, y:1.5669, t:0.9896
  17: x:1.2519, y:1.4283, t:0.9950
  18: x:1.2414, y:1.2428, t:0.9878
  19: x:1.2448, y:1.4823, t:0.9980
  20: x:1.2447, y:1.6772, t:0.9981
  21: x:1.2584, y:1.7509, t:0.9873
  22: x:1.2668, y:1.9260, t:0.9499
  23: x:1.2598, y:1.7674, t:0.9501
  24: x:1.2702, y:1.8351, t:0.9250
  25: x:1.2505, y:1.6959, t:0.9727
  26: x:1.2415, y:1.8404, t:0.9680
  27: x:1.3284, y:1.5945, t:0.9070
  28: x:1.2739, y:1.5235, t:0.9629
  29: x:1.2811, y:1.7288, t:0.9023
  30: x:1.3103, y:1.8619, t:0.9411
  31: x:1.2442, y:1.7682, t:0.9188
  32: x:1.2414, y:1.4908, t:0.9747
  33: x:1.2564, y:1.5284, t:0.9659
  34: x:1.2549, y:1.7305, t:0.9500
  35: x:1.2442, y:1.8923, t:0.9665
  36: x:1.2487, y:1.7377, t:0.9455
  37: x:1.2766, y:1.4437, t:0.9601
  38: x:1.3215, y:1.7682, t:0.9298
  39: x:1.3110, y:1.7072, t:0.9256
  40: x:1.3116, y:1.7629, t:0.9087
  41: x:1.2880, y:1.7361, t:0.9020
  42: x:1.2677, y:1.7295, t:0.9400
  43: x:1.2550, y:1.6961, t:0.9428
  44: x:1.2633, y:1.8942, t:0.9202
  45: x:1.3227, y:1.7689, t:0.9795
  46: x:1.2586, y:2.0060, t:0.9511
  47: x:1.2858, y:1.9718, t:0.9465
  48: x:1.2521, y:1.8600, t:0.9718
  49: x:1.2633, y:2.2309, t:0.9429
  50: x:1.2928, y:1.9492, t:0.9575
  51: x:1.2973, y:1.8169, t:0.9620
  52: x:1.2474, y:1.8391, t:0.9896
  53: x:1.2833, y:1.6286, t:0.9780
  54: x:1.2437, y:1.5236, t:0.9925
  55: x:1.2684, y:1.6071, t:0.9995
  56: x:-0.8055, y:2.5699, t:-0.4007
  69: x:0.5518, y:3.1821, t:-0.0137
  81: x:-1.3030, y:0.0516, t:0.7730
  84: x:-1.1403, y:-0.7483, t:-0.2021
  88: x:-0.7637, y:-0.7504, t:0.9802
  89: x:-0.7015, y:-0.7530, t:0.9440
  90: x:-0.4133, y:-0.7416, t:-0.2260
  91: x:-0.4169, y:-0.7473, t:-0.2384
  92: x:-0.3142, y:-0.7601, t:-0.2559
  93: x:-0.6917, y:-0.7472, t:0.9864
  94: x:-0.8429, y:-0.7467, t:0.9817
  95: x:-0.9906, y:-0.7476, t:0.9956
  96: x:-1.0741, y:-0.7672, t:0.9987
  97: x:-1.2581, y:-0.5965, t:0.9772
  98: x:-1.2207, y:-0.7613, t:0.9961
  99: x:-0.9037, y:-0.7460, t:0.9876
 100: x:-1.2308, y:-0.7430, t:0.9811
