   1: x:-1.2697, y:0.6194, t:0.7678
   2: x:-1.2522, y:0.5383, t:0.7609
   3: x:-1.3158, y:0.9898, t:0.5305
   4: x:-1.2693, y:0.5209, t:0.4934
   5: x:-1.3126, y:0.8487, t:0.3901
   6: x:-1.2995, y:1.0800, t:0.4124
   7: x:-1.2825, y:0.7525, t:0.1894
   8: x:-1.2419, y:0.9503, t:0.1087
   9: x:-1.2565, y:1.1257, t:0.0634
  10: x:-1.2554, y:0.9305, t:-0.0094
  11: x:-1.2477, y:0.9287, t:-0.0232
  12: x:-1.2528, y:0.7037, t:-0.1530
  13: x:-1.2977, y:0.5766, t:-0.0526
  14: x:-1.3278, y:0.4197, t:0.0176
  15: x:-1.2990, y:0.6871, t:-0.2470
  16: x:-1.2658, y:0.4507, t:-0.1945
  17: x:-1.2860, y:0.7688, t:-0.3020
  18: x:-1.2803, y:0.2529, t:-0.1938
  19: x:-1.2435, y:0.6075, t:-0.3618
  20: x:-1.2598, y:0.6291, t:-0.3002
  21: x:-1.2420, y:0.5018, t:-0.3320
  22: x:-1.3234, y:0.7429, t:-0.4842
  23: x:-1.3331, y:0.5273, t:-0.2816
  24: x:-1.2720, y:0.6911, t:-0.3568
  25: x:-1.3020, y:1.1844, t:-0.4182
  26: x:-1.2595, y:0.6847, t:-0.5044
  27: x:-1.2567, y:1.1796, t:-0.6016
  28: x:-1.2676, y:1.0638, t:-0.3332
  29: x:-1.2684, y:0.8063, t:-0.4565
  30: x:-1.2466, y:0.7520, t:-0.5092
  31: x:-1.2483, y:0.8624, t:-0.4159
  32: x:-1.2508, y:2.0862, t:-0.8180
  33: x:-1.2548, y:1.1812, t:-0.6586
  34: x:-1.2738, y:1.0033, t:-0.4188
  35: x:-1.2752, y:1.0500, t:-0.6048
  36: x:-1.2707, y:1.1705, t:-0.5022
  37: x:-0.7806, y:2.6451, t:0.9617
  38: x:-0.2331, y:3.0701, t:0.9943
  39: x:-0.6544, y:2.5715, t:0.9515
  40: x:0.1192, y:-0.7455, t:0.1882
  58: x:1.2495, y:1.6065, t:0.9349
  59: x:0.9088, y:2.5637, t:-0.3730
  60: x:1.2564, y:2.3050, t:-0.4761
  61: x:0.7097, y:4.7720, t:-0.1617
  62: x:-0.1211, y:2.5564, t:0.0310
  63: x:1.0180, y:2.6124, t:-0.0944
  64: x:-1.2477, y:5.4456, t:0.8064
  65: x:1.2538, y:3.9805, t:-0.1317
  66: x:0.8232, y:2.5630, t:-0.1641
  67: x:0.9027, y:3.0303, t:-0.0765
  77: x:1.2435, y:1.8573, t:-0.7795
  78: x:1.2601, y:1.4583, t:-0.7880
  79: x:1.2830, y:1.6500, t:-0.7523
  80: x:1.2498, y:2.3887, t:-0.5408
  81: x:0.6114, y:2.5877, t:-0.2635
  82: x:0.4352, y:2.6014, t:-0.4219
  83: x:0.2266, y:2.5601, t:-0.3402
  84: x:0.0684, y:2.5663, t:-0.1905
  85: x:-0.0622, y:2.5419, t:0.1464
  89: x:0.1505, y:2.5414, t:-0.0428
  90: x:0.2175, y:2.5436, t:0.0704
  97: x:-0.0534, y:2.5736, t:-0.2120
  98: x:-0.2809, y:2.6085, t:-0.0218
  99: x:-0.3249, y:2.6335, t:0.0314
 100: x:-1.3043, y:1.8809, t:0.1643
