   1: x:1.2950, y:1.5496, t:-0.0073
   2: x:0.9396, y:2.6830, t:0.1688
   3: x:0.9084, y:2.6311, t:0.2304
   4: x:1.2604, y:2.4090, t:0.2540
   5: x:1.0015, y:2.5996, t:0.3053
   6: x:0.6653, y:2.5656, t:0.2669
   7: x:1.2830, y:2.3835, t:0.2111
   8: x:1.2678, y:2.4464, t:0.1295
   9: x:1.2514, y:2.9587, t:0.1322
  10: x:1.2605, y:3.3622, t:0.1451
  11: x:0.1743, y:2.6097, t:-0.0407
  12: x:0.5989, y:2.6173, t:-0.1326
  13: x:0.7588, y:2.5647, t:-0.0446
  14: x:1.2577, y:3.3424, t:-0.1874
  15: x:1.3163, y:2.5575, t:-0.2337
  16: x:1.2864, y:3.1211, t:-0.2159
  17: x:1.2861, y:2.5596, t:-0.1532
  18: x:1.2702, y:2.4432, t:-0.1934
  19: x:1.2714, y:2.3657, t:-0.1175
  20: x:1.2424, y:3.2407, t:-0.0893
  21: x:1.2960, y:2.6402, t:-0.1807
  22: x:1.2714, y:3.3473, t:-0.0273
  23: x:1.2435, y:2.3164, t:-0.1748
  24: x:1.2725, y:2.3492, t:-0.0245
  25: x:1.2917, y:2.1057, t:-0.0454
  26: x:1.2419, y:1.9718, t:0.0307
  27: x:1.2718, y:2.2787, t:0.0110
  28: x:1.2549, y:1.8500, t:0.0491
  29: x:1.2562, y:1.4930, t:-0.0504
  30: x:1.2455, y:1.1276, t:-0.2428
  33: x:1.2675, y:0.8914, t:-0.0928
  34: x:1.2409, y:-0.0670, t:0.8729
  35: x:1.2527, y:0.6968, t:-0.1588
  36: x:1.2441, y:1.2423, t:-0.0120
  37: x:1.2948, y:0.9057, t:-0.2796
  38: x:1.2588, y:2.3541, t:0.0974
  39: x:0.3002, y:2.5751, t:0.4350
  49: x:-1.2414, y:0.9168, t:0.2684
  50: x:-1.2905, y:1.1067, t:0.3530
  51: x:-1.2656, y:0.9976, t:0.1201
  52: x:-1.2498, y:2.0170, t:-0.1569
  53: x:-1.2580, y:0.7576, t:0.2620
  54: x:-1.2751, y:1.4401, t:-0.3172
  55: x:-1.2747, y:1.1117, t:-0.0398
  56: x:-0.7360, y:2.5575, t:-0.6034
  57: x:-1.2428, y:1.5543, t:-0.2124
  58: x:-0.1550, y:2.5494, t:-0.3972
  59: x:-1.1621, y:4.7422, t:0.1462
  60: x:-0.7518, y:3.0723, t:0.1546
  61: x:-1.2843, y:2.6522, t:0.8739
  62: x:-1.2712, y:1.9978, t:0.7019
  63: x:-1.2508, y:1.5953, t:0.6104
  64: x:-1.2554, y:0.7397, t:0.8117
  67: x:-1.2918, y:1.5271, t:0.9678
  69: x:-1.2510, y:1.8233, t:0.9590
  82: x:1.2815, y:1.3295, t:0.8363
  85: x:-1.2690, y:2.0468, t:0.9999
  87: x:-0.3535, y:-0.7519, t:0.9794
  88: x:-1.3035, y:2.1730, t:0.1369
  89: x:-1.2952, y:0.4101, t:0.2047
  90: x:-0.2782, y:-0.8044, t:0.5260
  91: x:-1.2728, y:-0.0541, t:0.2140
  92: x:-1.2745, y:-0.7059, t:0.7176
  93: x:-0.8189, y:-0.8005, t:0.4196
  94: x:1.2873, y:0.4097, t:-0.4883
  95: x:0.8911, y:-0.7826, t:-0.7694
  96: x:1.2499, y:1.7752, t:-0.7148
  97: x:1.2634, y:0.3826, t:-0.6161
  98: x:1.2653, y:0.3765, t:-0.6824
  99: x:1.2703, y:1.8532, t:-0.6212
 100: x:1.2774, y:1.0154, t:0.8875
