   1: x:0.1617, y:2.5626, t:0.9245
   2: x:1.2832, y:2.3337, t:0.9990
   3: x:1.2676, y:2.5867, t:0.9986
   4: x:1.2516, y:2.2708, t:0.9951
   5: x:1.2664, y:2.3967, t:0.9974
   6: x:1.2990, y:2.3849, t:0.9725
   7: x:-0.1462, y:2.5525, t:0.8816
   8: x:1.2674, y:2.2669, t:0.9970
   9: x:0.3286, y:2.6004, t:0.9434
  10: x:1.2770, y:2.2360, t:0.9451
  11: x:1.2518, y:2.0094, t:0.9990
  12: x:0.5977, y:2.5716, t:0.8994
  13: x:1.3101, y:2.6011, t:0.9854
  14: x:-0.7091, y:2.8549, t:-0.5623
  15: x:-0.2595, y:2.5977, t:-0.7327
  16: x:-0.6967, y:2.5866, t:-0.5908
  17: x:0.3044, y:2.5891, t:-0.7604
  18: x:0.7897, y:2.5595, t:-0.6829
  19: x:1.2692, y:3.2578, t:-0.7256
  20: x:-0.0538, y:2.5917, t:-0.4674
  21: x:0.5763, y:2.5437, t:-0.6158
  22: x:1.2625, y:2.3715, t:-0.6719
  23: x:0.6811, y:2.6028, t:-0.6017
  24: x:1.2468, y:2.2368, t:-0.6908
  25: x:1.2730, y:2.4909, t:-0.6748
  26: x:1.3008, y:2.4695, t:-0.6555
  27: x:1.2689, y:3.3145, t:-0.6958
  28: x:1.2896, y:2.8354, t:-0.6895
  29: x:0.5544, y:2.5626, t:-0.5358
  30: x:-0.0797, y:2.5523, t:-0.4594
  31: x:-0.7331, y:2.5838, t:-0.3041
  32: x:-0.6790, y:2.5716, t:-0.3495
  33: x:-0.0946, y:2.5579, t:-0.3881
  34: x:-0.6532, y:2.8900, t:-0.2828
  35: x:-1.2405, y:1.8061, t:-0.2948
  36: x:-1.0173, y:2.5634, t:-0.3714
  37: x:-1.2587, y:3.2429, t:-0.4048
  38: x:-1.2678, y:2.3548, t:-0.2522
  39: x:-0.6634, y:2.5785, t:-0.4447
  40: x:-1.2444, y:3.7511, t:-0.3983
  41: x:-1.2717, y:1.6525, t:-0.2938
  42: x:-1.2725, y:1.6538, t:-0.2930
  43: x:-1.2486, y:2.5542, t:-0.5116
  44: x:-1.2452, y:1.5753, t:-0.3355
  45: x:-1.2474, y:2.4632, t:-0.5233
  46: x:-1.2443, y:2.5638, t:-0.4161
  47: x:-1.2559, y:2.4885, t:-0.5396
  48: x:-1.0065, y:2.6704, t:-0.5284
  49: x:-1.2520, y:2.1460, t:-0.4825
  50: x:-1.1989, y:2.5677, t:-0.5733
  51: x:-0.8122, y:2.6632, t:-0.5142
  52: x:-0.3585, y:2.9406, t:-0.6549
  53: x:-0.1935, y:2.5440, t:-0.5856
  54: x:0.1317, y:2.5422, t:-0.7359
  55: x:0.1679, y:2.5530, t:-0.7315
  56: x:1.2636, y:2.4888, t:0.9553
  57: x:0.4702, y:2.5505, t:0.9089
  58: x:1.2877, y:2.4568, t:0.9962
  59: x:-0.5050, y:2.6241, t:-0.8323
  60: x:-0.4027, y:2.6062, t:-0.8611
  61: x:0.0318, y:2.5416, t:0.9297
  62: x:1.2907, y:2.2481, t:0.9879
  63: x:-0.2211, y:2.5661, t:0.9502
  64: x:-0.5329, y:2.5461, t:-0.8628
  65: x:-0.2957, y:2.5516, t:0.9703
  66: x:1.2592, y:1.2722, t:0.8707
  67: x:-1.2571, y:1.1188, t:-0.5834
  68: x:-1.2567, y:1.1856, t:-0.5819
  69: x:-1.2448, y:0.1946, t:-0.4416
  70: x:-0.0531, y:2.5496, t:0.9693
  71: x:-1.2899, y:1.2201, t:-0.5744
  72: x:-1.2572, y:0.7331, t:-0.3187
  73: x:-1.3024, y:1.1906, t:-0.4579
  74: x:-1.2406, y:0.9388, t:-0.5592
  75: x:-1.2756, y:1.2356, t:-0.6526
  76: x:-1.2629, y:1.0904, t:-0.5950
  77: x:-1.2574, y:1.3836, t:-0.7184
  78: x:-1.2416, y:1.5860, t:-0.7373
  79: x:-1.2714, y:1.3353, t:-0.6804
  80: x:-1.2420, y:1.6628, t:-0.7315
  81: x:-1.2449, y:0.8865, t:-0.5177
  82: x:-0.2002, y:2.8878, t:0.9959
  83: x:-1.2504, y:1.3637, t:-0.6487
  84: x:1.2848, y:1.7432, t:0.8957
  85: x:-0.5895, y:2.8148, t:0.9671
  86: x:-1.2431, y:0.4855, t:-0.3975
  87: x:-1.2606, y:1.1922, t:-0.6625
  88: x:-1.2615, y:0.9320, t:-0.4786
  91: x:-0.4375, y:2.9717, t:0.8839
  95: x:1.2597, y:1.5724, t:0.9817
  96: x:1.2443, y:1.8709, t:0.9444
  97: x:1.2651, y:1.9564, t:0.9443
  98: x:1.2470, y:1.5612, t:0.9319
  99: x:1.2535, y:1.5774, t:0.8944
 100: x:1.2416, y:1.7872, t:0.8827
