   1: x:-1.2622, y:0.5007, t:-0.4618
   2: x:-1.3259, y:0.7182, t:-0.5579
   3: x:-1.3061, y:0.5413, t:-0.4853
   4: x:-1.2962, y:-0.0130, t:-0.4090
   5: x:-1.2585, y:0.7557, t:-0.6344
   6: x:-1.2559, y:0.4502, t:-0.4578
   7: x:-1.2547, y:0.5786, t:-0.5106
   8: x:-1.2559, y:0.4039, t:-0.4402
   9: x:-1.2642, y:0.6261, t:-0.5209
  10: x:-1.2866, y:0.7628, t:-0.5815
  11: x:-1.2838, y:0.6033, t:-0.4671
  12: x:-1.2624, y:0.9450, t:-0.4967
  13: x:-1.3185, y:0.5726, t:-0.4208
  14: x:-1.2601, y:1.4657, t:-0.5889
  15: x:-1.3100, y:0.4614, t:-0.3727
  16: x:-1.3276, y:0.8812, t:-0.4410
  17: x:-1.2809, y:2.1907, t:0.0594
  18: x:-1.2678, y:5.1318, t:0.3710
  19: x:-1.2758, y:3.6403, t:0.4084
  20: x:-1.2557, y:3.5202, t:0.4737
  21: x:-1.2626, y:3.1713, t:0.5129
  22: x:-1.2777, y:2.3096, t:0.5007
  23: x:-1.2653, y:2.5003, t:0.5125
  24: x:-1.2688, y:2.3314, t:0.4676
  25: x:-1.3094, y:2.4648, t:0.5439
  26: x:-1.2590, y:3.0291, t:0.5718
  27: x:-1.2652, y:2.5256, t:0.5358
  28: x:-1.2930, y:2.1025, t:0.5900
  29: x:-1.3106, y:2.4782, t:0.6022
  30: x:-1.2547, y:2.2809, t:0.5382
  31: x:-1.2969, y:2.0982, t:0.5852
  32: x:-1.3192, y:2.3238, t:0.6435
  33: x:-1.2539, y:2.6426, t:0.6951
  34: x:-1.2904, y:3.0184, t:0.7725
  35: x:-1.2520, y:2.5389, t:0.6920
  36: x:-1.2620, y:2.6818, t:0.8135
  37: x:-1.2887, y:2.7807, t:0.8627
  38: x:-1.2971, y:2.8528, t:0.9455
  39: x:-1.2739, y:2.8029, t:0.9517
  40: x:-1.2424, y:2.7545, t:0.9736
  41: x:-1.2440, y:2.5838, t:0.9987
  42: x:-1.2614, y:2.7485, t:0.9994
  43: x:-1.2582, y:2.5059, t:0.9477
