   1: x:0.1718, y:-0.8131, t:-0.3508
   2: x:0.2987, y:-0.7456, t:-0.2694
   3: x:-0.0120, y:-0.7727, t:-0.3300
   4: x:0.1051, y:-0.7750, t:-0.3049
   5: x:-0.0352, y:-0.7876, t:-0.2860
   6: x:0.1747, y:-0.8282, t:-0.2733
   7: x:0.3692, y:-0.7633, t:-0.3728
   8: x:0.6754, y:-0.7765, t:-0.4438
   9: x:0.8362, y:-0.8254, t:-0.4427
  10: x:0.2209, y:-0.8024, t:-0.3667
  11: x:0.2990, y:-0.7708, t:-0.3352
  12: x:0.0431, y:-0.7712, t:-0.3239
  13: x:-0.0042, y:-0.7877, t:-0.3437
  14: x:-0.1538, y:-0.8163, t:-0.3932
  15: x:0.6274, y:-0.7656, t:0.9970
  16: x:0.7851, y:-0.7448, t:0.9999
  17: x:0.9681, y:-0.7518, t:0.9535
  18: x:1.2416, y:0.2551, t:0.9591
  19: x:1.2801, y:0.6964, t:-0.8043
  20: x:1.2942, y:0.8195, t:-0.7259
  21: x:1.2755, y:0.5372, t:-0.7296
  22: x:1.2453, y:0.6609, t:-0.6966
  23: x:1.2604, y:0.7032, t:-0.6581
  24: x:1.2613, y:0.6505, t:-0.6189
  25: x:1.2536, y:0.5785, t:-0.5952
  26: x:1.2954, y:0.5211, t:-0.5856
  27: x:1.2618, y:1.3309, t:-0.0927
  28: x:1.2501, y:2.1731, t:0.1056
  29: x:-1.3035, y:5.7026, t:0.8391
  30: x:0.0568, y:6.0502, t:0.6758
  31: x:-1.2697, y:5.2668, t:0.8715
  32: x:-1.2422, y:4.8593, t:0.8996
  33: x:-1.2650, y:4.2453, t:0.9588
  34: x:-1.2954, y:5.0630, t:0.9510
  35: x:-1.2766, y:4.6992, t:0.9603
  36: x:1.2533, y:1.9053, t:0.4570
  37: x:1.2556, y:2.3142, t:0.4565
  38: x:1.2506, y:1.3878, t:0.3360
  39: x:1.2566, y:1.1395, t:0.3045
  40: x:1.2532, y:1.2474, t:0.3174
  41: x:1.2456, y:1.2207, t:0.3516
  42: x:1.3065, y:0.9937, t:0.4189
  43: x:1.2976, y:0.8720, t:0.3156
  44: x:1.2529, y:0.4924, t:0.3397
  45: x:1.2508, y:0.6345, t:0.3204
  46: x:1.2479, y:0.6305, t:0.2857
  47: x:1.2931, y:0.4880, t:0.3274
  48: x:1.2593, y:0.3995, t:0.3370
  49: x:1.3298, y:0.5295, t:0.3217
  50: x:1.2714, y:0.4527, t:0.3186
  51: x:1.3158, y:0.4779, t:0.3544
  52: x:1.3327, y:0.6713, t:0.3620
  53: x:1.2670, y:0.2335, t:0.2959
  54: x:1.3268, y:0.4173, t:0.4070
  55: x:1.2562, y:0.7952, t:0.3594
  56: x:1.2860, y:0.4417, t:0.3411
  57: x:1.2449, y:0.7213, t:0.3817
  58: x:1.2494, y:0.4441, t:0.3240
  59: x:1.3022, y:1.0113, t:0.4159
  60: x:1.2792, y:0.6141, t:0.3598
  61: x:1.2715, y:0.8363, t:0.3801
  62: x:1.2978, y:1.0566, t:0.4018
  63: x:1.3039, y:1.0111, t:0.4323
  64: x:1.3127, y:0.9690, t:0.3464
  65: x:1.2965, y:0.5077, t:0.3375
  66: x:-1.2975, y:3.4831, t:0.9975
  67: x:1.2497, y:2.1305, t:0.5593
  68: x:-1.2695, y:3.4806, t:0.9990
  69: x:1.2488, y:1.7183, t:0.4519
  70: x:-1.3220, y:3.2422, t:0.9965
  71: x:-1.3012, y:3.6357, t:0.9996
  72: x:-1.3376, y:3.4678, t:0.9968
  73: x:-1.3198, y:3.4048, t:0.9758
  74: x:-1.3194, y:3.3600, t:0.9991
  75: x:-1.2677, y:3.5049, t:0.9996
  76: x:-1.3305, y:3.5389, t:0.9892
  77: x:-1.3064, y:3.9069, t:0.9967
  78: x:-1.3270, y:3.7358, t:0.9843
  79: x:-1.3160, y:3.7154, t:0.9949
  80: x:-1.2474, y:3.7055, t:0.9954
  81: x:-1.2568, y:3.7284, t:0.9945
  82: x:-1.2724, y:2.9554, t:0.9239
  83: x:-1.2898, y:3.2525, t:0.9811
  84: x:-1.2512, y:2.3344, t:0.8694
  85: x:-1.2615, y:3.2382, t:0.9996
  86: x:-1.2753, y:2.6325, t:0.9643
  87: x:-1.2455, y:3.1668, t:0.9882
  88: x:-1.2649, y:2.2711, t:0.9188
  89: x:-1.2721, y:1.5756, t:0.7170
  90: x:-1.2827, y:1.7837, t:0.8038
  91: x:-1.2533, y:2.0694, t:0.8281
  92: x:-1.3026, y:1.7941, t:0.7334
  93: x:-1.2803, y:1.3584, t:0.7589
  94: x:-1.2830, y:1.5557, t:0.7865
  95: x:-1.2722, y:1.7246, t:0.8016
  96: x:-1.2440, y:1.8149, t:0.8003
  97: x:-1.2663, y:1.9586, t:0.9210
  98: x:-1.2528, y:1.2407, t:0.7904
  99: x:-1.2880, y:2.7410, t:0.9737
 100: x:-1.2634, y:1.5129, t:0.8144
