   1: x:1.2823, y:1.0506, t:-0.6535
   2: x:1.2971, y:0.6955, t:-0.7087
   3: x:1.2749, y:1.2015, t:-0.6555
   4: x:1.3204, y:1.2719, t:-0.7048
   5: x:1.2969, y:1.1829, t:-0.7585
   6: x:1.3095, y:1.3552, t:-0.7667
   7: x:1.2882, y:1.4248, t:-0.7374
   8: x:1.2883, y:1.5143, t:-0.6966
   9: x:1.2577, y:1.4539, t:-0.7327
  10: x:1.2694, y:1.6114, t:-0.7410
  11: x:1.2417, y:1.9708, t:-0.7695
  12: x:1.3039, y:2.2262, t:-0.7691
  13: x:1.3312, y:2.7279, t:-0.8379
  14: x:1.2996, y:2.8627, t:-0.8229
  15: x:1.2948, y:4.9495, t:-0.7275
  16: x:0.9822, y:6.0887, t:-0.5254
  17: x:1.2720, y:4.7337, t:-0.4510
  18: x:-0.0016, y:6.0145, t:-0.3153
  19: x:0.0850, y:6.0034, t:-0.3761
  20: x:-1.2894, y:2.4944, t:-0.0489
  21: x:-1.2551, y:1.8901, t:-0.0661
  22: x:-1.2838, y:4.5384, t:0.0902
  23: x:-1.2592, y:1.7445, t:0.1290
  24: x:-1.3097, y:1.7233, t:0.1399
  25: x:-1.2727, y:1.4165, t:0.1777
  26: x:-1.2615, y:1.3156, t:0.2262
  27: x:-1.2983, y:1.1642, t:0.2129
  28: x:-1.2574, y:0.9712, t:0.2784
  29: x:-1.2745, y:1.0916, t:0.2395
  30: x:-1.2882, y:1.1209, t:0.2446
  31: x:-1.3143, y:0.6988, t:0.2235
  32: x:-1.2968, y:1.2456, t:0.2157
  33: x:-1.3297, y:0.8009, t:0.2693
  34: x:-1.2974, y:0.8724, t:0.1736
  35: x:-1.2629, y:0.7668, t:0.2169
  36: x:-1.2669, y:0.7400, t:0.2373
  37: x:-1.2645, y:0.5883, t:0.2375
  38: x:-1.2430, y:0.5249, t:0.2709
  39: x:-1.2507, y:0.5498, t:0.2091
  40: x:-1.2514, y:0.5611, t:0.2635
  41: x:-1.2678, y:0.7150, t:0.1795
  42: x:-1.2956, y:0.4565, t:0.2848
  43: x:-1.2473, y:0.5832, t:0.2638
  44: x:-1.3234, y:0.5541, t:0.2119
  45: x:-1.3205, y:0.6519, t:0.2734
  46: x:-1.3184, y:0.7123, t:0.2357
  47: x:-1.2982, y:1.1598, t:0.2187
  48: x:-1.3255, y:1.1856, t:0.2114
  49: x:-1.2969, y:1.0991, t:0.2687
  50: x:-1.2734, y:1.7852, t:0.2143
  51: x:-1.2707, y:2.7370, t:0.3402
  52: x:-1.2838, y:3.3745, t:0.3521
  53: x:-1.2616, y:3.1831, t:0.3423
  54: x:-1.2654, y:3.6712, t:0.3593
  55: x:-1.3191, y:5.3232, t:0.4533
  56: x:-1.2764, y:3.8440, t:0.3228
  57: x:-1.2890, y:3.6554, t:0.4183
  58: x:-1.2633, y:3.4043, t:0.4292
  59: x:-1.2578, y:5.1970, t:0.5341
  60: x:-0.1923, y:6.0055, t:0.4245
  61: x:-1.0972, y:6.0251, t:0.5759
  62: x:-1.2650, y:5.5133, t:0.5491
  63: x:-0.6250, y:6.0356, t:0.4332
  64: x:0.3325, y:6.0833, t:0.2141
  65: x:0.2308, y:6.0529, t:0.3090
  66: x:0.1431, y:6.0359, t:0.3243
  67: x:0.2202, y:6.0939, t:0.2527
  68: x:0.3839, y:6.0467, t:0.1801
  69: x:0.5695, y:6.0634, t:0.2036
  70: x:0.5074, y:6.0607, t:0.1704
  71: x:0.6778, y:6.0365, t:0.1155
  72: x:0.5778, y:6.0917, t:0.1714
  73: x:0.4685, y:6.0726, t:0.2027
  74: x:0.4195, y:6.0575, t:0.1964
  75: x:0.2082, y:6.0130, t:0.3062
  76: x:0.1809, y:6.0586, t:0.3662
  77: x:-0.0999, y:6.0805, t:0.3437
  78: x:-0.0563, y:6.0104, t:0.3216
  79: x:-0.0237, y:6.0275, t:0.3884
  80: x:0.1922, y:6.0650, t:0.3230
  81: x:0.0769, y:6.0561, t:0.3536
  82: x:0.3510, y:6.0024, t:0.4068
  83: x:0.1424, y:6.0715, t:0.3588
  84: x:0.1752, y:6.0474, t:0.4412
  85: x:0.1322, y:6.0789, t:0.4765
  86: x:0.1480, y:6.0172, t:0.4161
  87: x:0.3854, y:6.0398, t:0.3980
  88: x:0.1876, y:6.0526, t:0.5536
  89: x:0.5562, y:6.0850, t:0.5542
  90: x:-0.0459, y:6.0176, t:0.7882
  91: x:0.9737, y:6.0355, t:0.5564
  92: x:0.6651, y:6.0807, t:0.6525
  93: x:0.6364, y:6.0668, t:0.5020
  94: x:-1.2538, y:4.8973, t:0.9512
  95: x:0.8400, y:6.0300, t:0.7265
  96: x:-1.2541, y:5.8590, t:0.9903
  97: x:0.5483, y:6.0739, t:0.5953
  98: x:-1.2631, y:4.3210, t:0.9798
  99: x:-1.2909, y:4.1902, t:0.9990
 100: x:-1.2901, y:4.2575, t:0.9995
