   1: x:-0.2323, y:2.5481, t:-0.3164
   2: x:-0.9545, y:2.6146, t:0.0884
   3: x:-0.2266, y:2.5944, t:-0.3676
   4: x:-0.9668, y:2.5713, t:-0.0128
   5: x:0.1033, y:2.5640, t:-0.5848
   6: x:-0.8953, y:2.5413, t:0.0443
   7: x:1.2636, y:0.6431, t:0.6002
   8: x:1.2906, y:0.7051, t:0.6282
   9: x:1.2520, y:0.6024, t:0.5993
  10: x:0.4000, y:2.5498, t:0.9819
  11: x:-0.5658, y:2.7857, t:0.0861
  12: x:-0.7140, y:2.5584, t:-0.3676
  13: x:-0.9749, y:2.5416, t:-0.3040
  14: x:-0.5178, y:2.5555, t:-0.4857
  15: x:-0.4547, y:2.5476, t:-0.3296
  16: x:-1.3081, y:-0.0459, t:0.1357
  17: x:-0.2745, y:2.5469, t:-0.7274
  18: x:-1.2817, y:0.0150, t:0.0695
  19: x:-0.1125, y:2.5777, t:0.9289
  20: x:-0.8264, y:2.5545, t:-0.5162
  21: x:-0.3458, y:2.5510, t:-0.8185
  22: x:-1.3385, y:-0.2948, t:0.1751
  23: x:-0.4569, y:2.5640, t:-0.7020
  24: x:-0.2476, y:2.6130, t:0.8769
  25: x:-0.6558, y:2.8118, t:0.9639
  26: x:-0.4973, y:2.7602, t:0.9732
  27: x:-0.7128, y:3.1678, t:0.9838
  28: x:-1.2582, y:3.2526, t:-0.0824
  29: x:-0.7412, y:2.5705, t:-0.7375
  30: x:-1.2521, y:1.9344, t:-0.3937
  31: x:-0.9683, y:2.6340, t:-0.6705
  32: x:-1.0463, y:2.6189, t:-0.3433
  33: x:-0.7183, y:3.6455, t:0.9864
  34: x:-1.2568, y:1.6192, t:-0.2397
  35: x:-1.2839, y:0.7473, t:-0.2692
  36: x:-1.2801, y:1.9597, t:-0.3676
  37: x:-1.3013, y:0.7307, t:-0.2197
  38: x:-1.3034, y:0.2275, t:-0.2614
  39: x:-1.3350, y:0.1201, t:-0.1537
  40: x:-1.2749, y:0.3061, t:-0.1132
  41: x:-1.3118, y:-0.0083, t:-0.1243
  42: x:-1.2503, y:0.1187, t:-0.1489
  43: x:-1.2626, y:0.4158, t:-0.1560
  44: x:-1.2724, y:0.2153, t:-0.2276
  45: x:-1.3111, y:-0.1030, t:-0.1781
  46: x:-1.2998, y:0.3945, t:-0.2233
  47: x:-1.2698, y:0.3551, t:-0.1630
  48: x:-1.2772, y:0.4634, t:-0.1678
  49: x:-1.2704, y:0.4812, t:-0.1372
  50: x:-1.2637, y:0.2439, t:-0.4076
  51: x:-1.2627, y:0.7735, t:-0.1486
  52: x:-1.2829, y:0.7825, t:-0.2149
  53: x:-1.3203, y:0.7681, t:-0.5434
  54: x:-1.2421, y:2.8799, t:-0.7662
  55: x:-1.2732, y:1.3774, t:-0.4274
  56: x:-1.2644, y:0.7389, t:-0.3874
  57: x:-1.2558, y:1.9310, t:-0.4773
  58: x:-1.2546, y:2.3241, t:-0.2661
  59: x:-1.1642, y:2.5564, t:-0.4440
  60: x:-1.2503, y:1.8166, t:-0.1152
  61: x:-1.2551, y:2.3785, t:-0.4803
  62: x:-1.2585, y:2.4250, t:-0.2807
  63: x:-1.2531, y:2.8832, t:-0.4921
  64: x:-1.2853, y:2.3090, t:-0.0865
  65: x:-1.3072, y:1.2888, t:0.0250
  66: x:-1.3235, y:0.7364, t:0.0745
  67: x:-1.2678, y:1.4393, t:0.0202
  68: x:-1.3121, y:0.9722, t:-0.0277
  69: x:-1.2458, y:2.3680, t:-0.0122
  70: x:-1.2617, y:0.4718, t:-0.0272
  71: x:-1.2945, y:3.0195, t:-0.0126
  72: x:-1.2665, y:2.7593, t:-0.0091
  73: x:-1.2731, y:2.7475, t:-0.0450
  74: x:-1.3033, y:0.9098, t:-0.0215
  75: x:-1.2564, y:2.0746, t:0.0092
  76: x:-1.2987, y:1.7070, t:-0.0326
  77: x:-1.2525, y:2.2194, t:-0.2444
  78: x:-1.3002, y:1.1466, t:-0.0444
  79: x:-1.2449, y:2.0425, t:-0.1433
  80: x:-1.3091, y:1.5215, t:-0.0157
  81: x:-1.2829, y:1.6018, t:0.0299
  82: x:-1.2452, y:1.9688, t:-0.0219
  83: x:-1.2632, y:2.1027, t:-0.0198
  84: x:-1.2749, y:1.6821, t:-0.0267
  85: x:-1.3154, y:0.6582, t:-0.0323
  86: x:-1.3053, y:1.7647, t:-0.0022
  87: x:-1.2624, y:1.5520, t:0.0331
  88: x:-1.2546, y:1.7540, t:-0.0052
  89: x:-1.3077, y:2.0742, t:0.0238
  90: x:-1.2896, y:0.9904, t:0.0353
  91: x:-1.2789, y:0.8938, t:0.0547
  92: x:-1.2644, y:1.3127, t:0.0651
  93: x:-1.2521, y:1.0634, t:0.0260
  94: x:-1.2970, y:0.7714, t:0.0405
  95: x:-1.3267, y:0.6700, t:0.0130
  96: x:-1.3025, y:1.0790, t:0.0159
  97: x:-1.2876, y:1.0548, t:0.0806
  98: x:-1.3077, y:0.8409, t:0.0517
  99: x:-1.2865, y:1.2677, t:0.1019
 100: x:-1.2451, y:0.6262, t:0.0916
