   1: x:-1.0355, y:2.5637, t:0.0567
   2: x:-1.2683, y:2.3574, t:0.1449
   3: x:-1.2092, y:2.6641, t:0.0727
   4: x:-1.2489, y:3.0491, t:0.0455
   5: x:-1.2506, y:2.5407, t:0.0981
   6: x:-1.3066, y:1.1752, t:0.1237
   7: x:-1.2408, y:3.0878, t:0.0663
   8: x:-1.2490, y:1.3233, t:0.1770
   9: x:-1.2769, y:1.5328, t:0.1518
  10: x:-1.2458, y:3.6798, t:0.0723
  11: x:-1.2590, y:1.3217, t:0.0929
  12: x:-1.2464, y:2.8336, t:0.1112
  13: x:-1.2482, y:3.2041, t:0.0747
  14: x:-1.2874, y:1.0211, t:0.2237
  15: x:-1.2901, y:3.2676, t:0.1379
  16: x:-1.1396, y:2.5865, t:-0.0408
  17: x:-1.2646, y:2.8271, t:0.0993
  18: x:-0.5150, y:2.5987, t:-0.1019
  19: x:-0.5291, y:2.6211, t:-0.2930
  20: x:-1.1544, y:2.5573, t:-0.0638
  21: x:1.3059, y:0.7735, t:0.2910
  22: x:1.2698, y:0.3379, t:0.6792
  23: x:1.3152, y:0.7485, t:0.3028
  24: x:-0.4516, y:2.6013, t:-0.3808
  25: x:-0.0101, y:-0.7677, t:0.3338
  26: x:-0.7650, y:2.6261, t:-0.3638
  27: x:1.2418, y:0.2634, t:0.3455
  28: x:-0.9442, y:2.5664, t:-0.2814
  29: x:-0.7848, y:2.6025, t:-0.2844
  30: x:-1.2529, y:2.5412, t:0.0561
  31: x:1.3069, y:1.0139, t:0.7846
  32: x:-1.2723, y:1.5181, t:-0.0811
  33: x:-1.2827, y:1.3202, t:-0.0057
  34: x:-1.3083, y:2.3892, t:0.0198
  35: x:1.2773, y:-0.5523, t:0.5554
  36: x:1.3246, y:1.3082, t:0.6144
  37: x:-1.2424, y:0.8210, t:0.0454
  38: x:1.2763, y:0.4859, t:0.3399
  39: x:-1.2654, y:1.0208, t:0.0882
  40: x:-1.2640, y:2.0758, t:-0.0192
  41: x:-1.2596, y:0.7440, t:0.1026
  42: x:-1.2535, y:2.3913, t:0.0852
  43: x:-1.2814, y:2.5187, t:0.0099
  44: x:-1.3400, y:0.7098, t:0.0822
  45: x:-1.2468, y:2.5827, t:0.0677
  46: x:-1.2752, y:2.4718, t:0.0089
  47: x:-1.2986, y:0.6868, t:0.0396
  48: x:-1.2435, y:0.0706, t:0.0091
  49: x:-1.2658, y:2.2090, t:-0.0977
  50: x:-1.2606, y:1.7278, t:-0.0787
  51: x:-1.2781, y:0.5337, t:0.0451
  52: x:-0.9606, y:2.5951, t:-0.0691
  53: x:-1.0377, y:2.6080, t:0.0509
  54: x:-0.8286, y:2.5795, t:0.0370
  55: x:-1.2639, y:1.0337, t:0.0145
  56: x:-0.9100, y:2.5867, t:-0.1265
  57: x:-1.2958, y:1.7223, t:0.0525
  58: x:-1.3007, y:0.8227, t:0.0197
  59: x:-1.2720, y:2.2072, t:-0.0158
  60: x:-1.2535, y:1.6331, t:-0.1414
  61: x:-1.2577, y:0.6671, t:-0.0423
  62: x:-1.2719, y:1.4532, t:-0.0555
  63: x:-1.3159, y:2.2963, t:-0.0693
  64: x:-1.2946, y:0.6773, t:-0.0444
  65: x:-1.0733, y:2.5715, t:0.1163
  66: x:-1.2811, y:2.1263, t:-0.0888
  67: x:-1.3163, y:1.7730, t:-0.0704
  68: x:0.2535, y:2.5921, t:0.8664
  69: x:0.3867, y:-0.8150, t:0.7297
  70: x:-1.2906, y:0.9228, t:-0.1165
  71: x:-1.0251, y:2.5465, t:-0.2240
  72: x:-0.9206, y:2.9597, t:0.2008
  73: x:1.3075, y:1.4100, t:0.7116
  74: x:1.2509, y:2.3840, t:0.5107
  75: x:1.3322, y:1.0641, t:0.4757
  76: x:1.3085, y:1.5693, t:0.7114
  77: x:0.7237, y:2.5934, t:0.8792
  78: x:1.2990, y:1.1094, t:0.4607
  79: x:1.2611, y:1.6392, t:0.6406
  80: x:1.2710, y:1.9376, t:0.6681
  81: x:1.3074, y:2.5392, t:0.6095
  82: x:1.2506, y:1.3315, t:0.4818
  83: x:0.6902, y:3.0088, t:0.9987
  84: x:1.2486, y:2.2408, t:0.8886
  85: x:0.6651, y:2.5414, t:0.8258
  86: x:0.6226, y:2.5688, t:0.7234
  87: x:0.5358, y:2.5795, t:0.7863
  88: x:0.2967, y:2.5420, t:0.8323
  89: x:0.5166, y:2.8362, t:0.9358
  90: x:0.1658, y:2.5662, t:0.8176
  91: x:0.1135, y:2.5529, t:0.8493
  92: x:-0.1613, y:2.5987, t:0.4429
  93: x:-0.0683, y:2.5495, t:0.9288
  94: x:0.2125, y:2.6254, t:0.8493
  95: x:-1.2947, y:2.7775, t:0.9350
  96: x:0.8318, y:-0.7590, t:-0.8585
  97: x:-0.0616, y:2.5636, t:0.6758
  98: x:-0.0984, y:2.5599, t:0.3393
  99: x:0.0232, y:2.6100, t:0.6618
 100: x:1.2488, y:-0.6400, t:-0.6775
