   1: x:1.2716, y:2.4554, t:0.9328
   2: x:1.3122, y:2.4375, t:0.9618
   3: x:1.2945, y:2.5500, t:0.9501
   4: x:1.3407, y:2.2046, t:0.9154
   5: x:0.7928, y:-0.7902, t:-0.5273
   6: x:1.3342, y:0.5070, t:-0.3343
   7: x:1.2441, y:0.1140, t:-0.4122
   8: x:0.9140, y:-0.7549, t:-0.4575
   9: x:0.6500, y:-0.7850, t:-0.4997
  10: x:1.2962, y:0.1721, t:-0.3736
  11: x:0.9843, y:-0.7838, t:-0.3361
  12: x:1.2519, y:1.3424, t:0.0376
  13: x:1.2414, y:1.2001, t:0.0198
  14: x:1.2751, y:2.0877, t:0.1439
  15: x:0.8869, y:2.9552, t:0.4815
  16: x:0.4319, y:2.5902, t:0.4986
  17: x:0.7197, y:2.7920, t:0.4291
  18: x:0.3100, y:2.6045, t:0.5142
  19: x:0.1474, y:2.5763, t:0.4872
  20: x:0.3035, y:2.5411, t:0.3604
  21: x:-0.4906, y:2.7998, t:0.3764
  22: x:-1.0801, y:2.6221, t:0.4715
  23: x:-0.6163, y:2.8367, t:0.3653
  24: x:-1.2455, y:2.4721, t:0.2684
  25: x:0.0438, y:2.5524, t:0.2456
  26: x:-1.2929, y:1.9186, t:0.2468
  27: x:1.2601, y:2.8222, t:0.0200
  28: x:0.3234, y:2.5517, t:0.0681
  29: x:1.2525, y:3.6963, t:-0.0709
  30: x:0.7915, y:2.6357, t:-0.1054
  31: x:1.2420, y:3.1571, t:-0.1826
  32: x:1.1659, y:2.7249, t:-0.2423
  33: x:0.6203, y:2.5759, t:-0.1610
  34: x:0.6187, y:2.6037, t:-0.1886
  35: x:0.8378, y:2.5934, t:-0.3297
  36: x:1.1752, y:2.5819, t:-0.4893
  37: x:1.3046, y:2.5043, t:-0.5744
  38: x:1.2758, y:2.5717, t:-0.5396
  39: x:1.3033, y:2.6320, t:-0.5242
  40: x:1.2922, y:2.1127, t:-0.5754
  41: x:1.2423, y:2.2599, t:-0.5003
  42: x:1.2956, y:0.8965, t:0.1916
  43: x:1.3047, y:0.7258, t:0.1484
  44: x:1.2430, y:0.6473, t:0.1878
  45: x:1.3167, y:0.5132, t:0.1517
  46: x:1.3199, y:0.1858, t:0.1777
  47: x:1.3170, y:0.0566, t:0.0282
  48: x:1.2720, y:-0.0620, t:0.1488
  49: x:1.3341, y:0.0028, t:0.1667
  50: x:1.2583, y:-0.0204, t:0.0693
  51: x:1.3042, y:-0.2234, t:0.1710
  52: x:1.2810, y:0.0132, t:0.1564
  53: x:1.2592, y:-0.0411, t:0.0656
  54: x:1.2464, y:0.1778, t:0.0544
  55: x:1.2911, y:0.0448, t:0.1656
  56: x:1.2541, y:-0.0337, t:0.0795
  57: x:1.2972, y:0.0320, t:0.1639
  58: x:1.2441, y:-0.1921, t:0.2369
  59: x:1.2785, y:0.0337, t:0.1184
  60: x:1.2562, y:0.1492, t:0.1944
  61: x:1.2697, y:0.4663, t:0.2908
  62: x:1.2996, y:2.0074, t:-0.0270
  63: x:1.2878, y:2.6536, t:-0.1257
  64: x:1.2666, y:3.1455, t:-0.0842
  65: x:1.2589, y:2.5660, t:-0.1671
  66: x:1.2618, y:2.5416, t:-0.1691
  67: x:1.2758, y:3.1056, t:-0.2260
  68: x:1.2654, y:2.5150, t:-0.2898
  69: x:1.2961, y:2.7489, t:-0.3105
  70: x:1.2432, y:2.5529, t:-0.2565
  71: x:1.2863, y:2.1563, t:-0.2133
  72: x:1.2885, y:2.3913, t:-0.1491
  73: x:1.2421, y:2.1444, t:-0.1140
  74: x:1.2684, y:2.0516, t:-0.0399
  75: x:1.2654, y:2.1031, t:0.0002
  76: x:1.3053, y:1.4064, t:0.3058
  77: x:1.2468, y:0.7273, t:0.3563
  78: x:1.2763, y:0.4439, t:0.2810
  79: x:1.2833, y:0.8179, t:0.3383
  80: x:1.2428, y:0.4297, t:0.2742
  81: x:1.2963, y:0.9214, t:0.3732
  82: x:1.2977, y:0.4641, t:0.3254
  83: x:1.3216, y:0.5398, t:0.2688
  84: x:1.3232, y:0.3660, t:0.2640
  85: x:1.2853, y:0.6511, t:0.2960
  86: x:1.2667, y:0.4761, t:0.2264
  87: x:1.3164, y:1.0643, t:0.3869
  88: x:1.2587, y:1.0689, t:0.4235
  89: x:1.3112, y:1.1796, t:0.3453
  90: x:1.3181, y:0.5421, t:0.3966
  91: x:1.2676, y:1.0895, t:0.4352
  92: x:1.2677, y:0.5031, t:0.3811
  93: x:1.3082, y:0.9441, t:0.4346
  94: x:1.2655, y:0.6518, t:0.3352
  95: x:1.2532, y:0.6679, t:0.4087
  96: x:1.2435, y:1.0976, t:0.3527
  97: x:1.2552, y:0.7000, t:0.3665
  98: x:1.2555, y:0.3640, t:0.3479
  99: x:1.2735, y:0.3400, t:0.3826
 100: x:1.3052, y:0.6819, t:0.2922
