   1: x:-1.2821, y:-0.6676, t:0.5463
   2: x:-1.1013, y:-0.7704, t:0.5749
   3: x:1.2606, y:0.8927, t:0.6240
   4: x:1.3296, y:0.3845, t:0.5292
   5: x:1.3124, y:0.6613, t:0.5814
   6: x:1.2831, y:0.4218, t:0.5327
   7: x:1.2487, y:1.0095, t:0.6326
   8: x:1.2422, y:0.7922, t:0.5156
   9: x:1.2837, y:0.4090, t:0.4886
  10: x:1.2412, y:0.5497, t:0.4838
  11: x:1.3094, y:0.3324, t:0.5169
  12: x:1.3156, y:0.5431, t:0.4655
  13: x:1.3089, y:0.6222, t:0.5485
  14: x:1.2459, y:0.6072, t:0.5212
  15: x:1.3000, y:0.6929, t:0.5829
  16: x:1.3365, y:0.4613, t:0.3953
  17: x:1.2783, y:0.1804, t:0.3210
  18: x:1.3311, y:0.3573, t:0.3625
  19: x:1.2789, y:0.5796, t:0.4525
  20: x:1.2574, y:0.9813, t:0.3960
  21: x:1.2430, y:1.2880, t:0.2489
  22: x:1.2991, y:1.2960, t:0.1232
  23: x:1.2718, y:2.4942, t:0.1395
  24: x:1.2586, y:1.3925, t:0.1714
  25: x:1.2680, y:1.2667, t:0.1099
  26: x:0.9705, y:2.6333, t:0.3684
  27: x:-0.2030, y:2.6283, t:-0.5776
  28: x:-0.0036, y:2.6066, t:-0.5480
  29: x:-0.5055, y:2.5876, t:-0.4389
  30: x:-0.3158, y:2.6270, t:-0.4701
  31: x:1.2680, y:6.5549, t:0.8943
  32: x:-1.2783, y:2.2975, t:-0.2397
  33: x:-1.3202, y:1.5886, t:-0.1409
  34: x:-1.2575, y:2.0859, t:-0.2393
  35: x:-1.3132, y:1.8175, t:-0.1693
  36: x:-1.3091, y:2.0663, t:-0.1651
  37: x:-1.2502, y:1.4071, t:-0.0612
  38: x:-1.3211, y:1.6920, t:-0.1352
  39: x:-1.2455, y:1.3192, t:-0.0315
  40: x:-1.2731, y:1.4683, t:-0.1155
  41: x:-1.2460, y:1.0279, t:-0.0206
  42: x:-1.2518, y:1.6689, t:-0.0586
  43: x:-1.3138, y:1.3562, t:-0.0240
  44: x:-1.2700, y:1.4241, t:0.0021
  45: x:-1.2792, y:1.3072, t:0.0286
  46: x:-1.2869, y:1.2850, t:-0.0060
  47: x:-1.2501, y:1.3168, t:0.0353
  48: x:-1.2423, y:1.5279, t:0.1572
  49: x:-1.2411, y:1.9232, t:0.1658
  50: x:-1.2966, y:1.8886, t:0.1731
  51: x:-1.3037, y:2.1158, t:0.3163
  52: x:-1.2792, y:1.8207, t:0.2519
  53: x:-1.3090, y:1.6384, t:0.2388
  54: x:-1.2710, y:1.8194, t:0.1867
  55: x:-1.3172, y:1.8278, t:0.1832
  56: x:-1.2438, y:1.5048, t:0.1880
  57: x:-1.2799, y:1.5371, t:0.1976
  58: x:-1.3243, y:1.9493, t:0.2258
  59: x:-1.2834, y:1.3946, t:0.1606
  60: x:-1.2413, y:1.7715, t:0.1906
  61: x:-1.3116, y:1.6835, t:0.1973
  62: x:-1.2972, y:2.1026, t:0.1764
  63: x:-1.2589, y:2.0435, t:0.1360
  64: x:-1.2878, y:2.0333, t:0.1432
  65: x:-1.2612, y:1.8958, t:0.1647
  66: x:-1.3019, y:1.9365, t:0.1833
  67: x:-1.3190, y:1.7599, t:0.1405
  68: x:-1.2906, y:1.9785, t:0.1361
  69: x:-1.2456, y:1.6882, t:0.1077
  70: x:-1.2917, y:1.8337, t:0.1596
  71: x:-1.3292, y:1.5051, t:0.1531
  72: x:-1.3135, y:1.7943, t:0.1632
  73: x:-1.2849, y:1.3158, t:0.1150
  74: x:-1.2545, y:1.5273, t:0.1383
  75: x:-1.3111, y:1.5776, t:0.1384
  76: x:-1.2921, y:1.7458, t:0.1019
  77: x:-1.2684, y:1.6513, t:0.1163
  78: x:-1.2541, y:1.9103, t:0.1246
  79: x:-1.2550, y:2.1095, t:0.1121
  80: x:-1.2867, y:2.2296, t:0.1659
  81: x:-1.2579, y:2.1747, t:0.1492
  82: x:-1.2617, y:2.2608, t:0.0954
  83: x:-1.2465, y:3.0364, t:0.1491
  84: x:-1.2206, y:2.5639, t:0.1479
  85: x:-1.2909, y:2.9074, t:0.1651
  86: x:-1.2533, y:2.6641, t:0.1708
  87: x:-1.2676, y:3.1086, t:0.2159
  88: x:-1.1577, y:2.5489, t:0.1352
  89: x:-1.2774, y:2.5385, t:0.1811
  90: x:-1.1216, y:2.5544, t:0.2009
  91: x:-0.3134, y:2.5849, t:-0.1325
  92: x:-1.0780, y:2.5647, t:0.2018
  93: x:-1.2739, y:2.1644, t:0.4613
  94: x:-1.2548, y:2.5815, t:0.1969
  95: x:0.0679, y:2.6312, t:-0.2622
  96: x:0.1322, y:2.6153, t:-0.2390
  97: x:-1.2899, y:2.9985, t:0.2219
  98: x:0.0531, y:2.6066, t:-0.2591
  99: x:-1.2895, y:2.4239, t:0.3785
 100: x:-0.0586, y:2.5720, t:-0.1847
