   1: x:1.2774, y:1.2357, t:-0.7447
   2: x:1.2619, y:1.2201, t:-0.7437
   3: x:1.3125, y:1.5341, t:-0.7235
   4: x:1.3274, y:1.3194, t:-0.7316
   5: x:1.2490, y:1.2524, t:-0.6883
   6: x:1.2481, y:1.1851, t:-0.6664
   7: x:1.2975, y:0.6535, t:-0.6007
   8: x:1.3010, y:0.4996, t:-0.5246
   9: x:1.3158, y:0.5257, t:-0.4948
  10: x:1.3046, y:0.5338, t:-0.5457
  11: x:1.3215, y:0.5720, t:-0.5386
  12: x:1.2656, y:0.7280, t:-0.5328
  13: x:1.2545, y:0.6302, t:-0.5168
  14: x:1.2923, y:0.6557, t:-0.5244
  15: x:1.2782, y:0.9557, t:-0.4613
  16: x:1.2898, y:0.6302, t:-0.5297
  17: x:1.2911, y:0.7979, t:-0.4250
  18: x:1.2837, y:0.8309, t:-0.4567
  19: x:1.2443, y:1.1000, t:-0.4477
  20: x:1.3044, y:1.2048, t:-0.3988
  21: x:1.3183, y:1.0594, t:-0.4270
  22: x:1.2620, y:1.1399, t:-0.4144
  23: x:1.2453, y:1.3881, t:-0.3941
  24: x:1.2411, y:1.8972, t:-0.4427
  25: x:1.3035, y:1.9719, t:-0.5181
  26: x:1.2855, y:2.0403, t:-0.4601
  27: x:1.2624, y:2.1196, t:-0.5154
  28: x:1.2766, y:1.6333, t:-0.4274
  29: x:1.2793, y:1.8843, t:-0.4865
  30: x:1.2455, y:2.0513, t:-0.4432
  31: x:1.2456, y:1.5699, t:-0.5204
  32: x:1.2944, y:2.0055, t:-0.5787
  33: x:0.8985, y:2.6167, t:-0.6188
  34: x:1.2833, y:2.7391, t:-0.7703
  35: x:1.2686, y:2.6687, t:-0.7717
  36: x:1.2762, y:2.5490, t:-0.7720
  37: x:0.7555, y:2.5651, t:-0.7295
  38: x:1.2509, y:2.4259, t:0.9058
  39: x:1.2595, y:2.4388, t:0.9047
  40: x:1.2796, y:2.5479, t:0.9378
  41: x:1.3238, y:2.0477, t:0.9474
  42: x:1.2740, y:2.1237, t:0.9536
  43: x:1.3049, y:2.0997, t:0.9608
  44: x:1.2871, y:2.2786, t:0.9760
  45: x:1.2876, y:2.4349, t:0.9892
  46: x:0.3956, y:2.5541, t:0.9013
  47: x:-0.3336, y:2.5685, t:-0.8223
  48: x:0.0178, y:2.5648, t:0.8861
  49: x:0.6178, y:2.5543, t:0.9520
  50: x:1.2624, y:2.3351, t:0.9999
  51: x:0.0131, y:2.5457, t:0.8791
  52: x:-0.2711, y:2.6413, t:0.8666
  53: x:-0.4278, y:2.6403, t:0.9117
  54: x:-0.2792, y:2.6021, t:0.9170
  55: x:0.1651, y:2.5473, t:0.9841
  56: x:1.2620, y:1.6912, t:0.9192
  57: x:-1.2537, y:1.0775, t:-0.5143
  58: x:-0.2463, y:2.6778, t:0.9648
  59: x:1.2781, y:1.6500, t:0.8889
  60: x:-1.2579, y:1.1266, t:-0.5370
  61: x:1.2588, y:1.4780, t:0.8807
  62: x:-0.2187, y:2.7288, t:0.9766
  63: x:-0.3915, y:2.6562, t:0.9382
  64: x:-1.2586, y:1.4623, t:-0.6423
  65: x:1.2584, y:1.8876, t:0.9355
  66: x:-1.2583, y:1.1165, t:-0.5045
  67: x:-1.2730, y:0.9896, t:-0.4886
  68: x:-1.2995, y:0.9098, t:-0.4880
  69: x:-1.2868, y:0.5946, t:-0.4091
  70: x:-1.2633, y:0.7150, t:-0.4905
  71: x:-1.2892, y:0.2724, t:-0.3834
  72: x:-1.3372, y:0.5018, t:-0.3520
  73: x:-1.3303, y:0.3791, t:-0.3499
  74: x:-1.3153, y:0.6568, t:-0.4277
  75: x:-1.2424, y:0.9109, t:-0.4936
  76: x:-1.3149, y:0.9371, t:-0.4900
  77: x:-1.2606, y:0.5134, t:-0.4304
  78: x:-1.2665, y:0.6417, t:-0.4871
  79: x:-1.2428, y:0.5710, t:-0.4465
  80: x:-1.2938, y:0.9085, t:-0.4421
  81: x:-1.3156, y:0.8117, t:-0.4903
  82: x:-1.2742, y:0.8459, t:-0.4800
  83: x:-1.2868, y:0.9836, t:-0.5091
  84: x:-1.2699, y:1.3725, t:-0.6119
  85: x:-1.2731, y:1.0499, t:-0.5464
  86: x:-1.2560, y:1.1515, t:-0.6032
  87: x:-1.2773, y:1.5798, t:-0.6300
  88: x:-1.2904, y:1.3380, t:-0.6978
  89: x:-1.2758, y:1.3786, t:-0.7518
  90: x:-1.2517, y:1.5783, t:-0.7356
  91: x:-1.2540, y:1.9476, t:-0.7667
  92: x:1.2881, y:1.3475, t:0.7256
  93: x:1.2737, y:1.4091, t:0.7604
  94: x:-1.3177, y:1.2239, t:-0.7233
  95: x:-1.2415, y:1.3401, t:-0.7823
  96: x:1.2634, y:2.5017, t:-0.8059
  97: x:-1.2690, y:1.3832, t:-0.7162
  98: x:-0.4935, y:2.7915, t:-0.3534
  99: x:1.2630, y:2.0952, t:-0.6779
 100: x:0.1532, y:2.5910, t:-0.1361
