   3: x:-1.2651, y:0.3800, t:0.6209
   4: x:-1.2514, y:-0.1936, t:-0.6715
   5: x:-1.3045, y:0.4658, t:-0.5257
   6: x:-1.3113, y:0.4856, t:-0.5607
   7: x:-1.2608, y:0.5439, t:-0.5008
   8: x:-1.2777, y:0.6110, t:-0.5740
   9: x:-1.2516, y:0.8868, t:-0.6115
  10: x:-1.3039, y:0.5308, t:-0.5133
  11: x:-1.3409, y:0.6153, t:-0.5592
  12: x:-1.3102, y:0.6482, t:-0.5456
  13: x:-1.2656, y:0.5857, t:-0.5272
  14: x:-1.3361, y:0.6113, t:-0.5994
  15: x:-1.2511, y:0.2863, t:-0.6222
  16: x:-1.2463, y:0.9019, t:-0.5328
  17: x:-1.3356, y:0.4294, t:-0.5847
  18: x:-1.2773, y:0.4689, t:-0.5162
  19: x:-1.2495, y:0.8432, t:-0.6347
  20: x:-1.2601, y:0.5156, t:-0.4940
  21: x:-1.2682, y:0.5989, t:-0.5080
  22: x:-1.2589, y:0.5213, t:-0.5776
  23: x:-1.3008, y:0.6555, t:-0.5239
  24: x:-1.2524, y:0.3906, t:-0.5403
  25: x:-1.2898, y:0.9302, t:-0.6516
  26: x:-1.2839, y:0.7716, t:-0.5739
  27: x:-1.2979, y:0.6321, t:-0.5807
  28: x:-1.2462, y:0.5615, t:-0.5503
  29: x:-1.3210, y:0.4289, t:-0.5304
  30: x:-1.3380, y:0.3754, t:-0.5424
  31: x:-1.3207, y:0.7039, t:-0.6093
  32: x:-1.2541, y:0.4586, t:-0.5221
  33: x:-1.3022, y:2.0484, t:-0.7825
  34: x:-0.0948, y:2.5409, t:-0.8446
  35: x:1.2449, y:1.7281, t:0.9779
  36: x:1.2803, y:1.3606, t:-0.6579
  37: x:1.2862, y:1.1128, t:-0.6126
  38: x:1.2729, y:0.9349, t:-0.6210
  39: x:1.3275, y:0.9421, t:-0.6597
  40: x:1.3144, y:0.9156, t:-0.6257
  41: x:1.3178, y:0.4639, t:-0.5836
  42: x:1.2994, y:0.5366, t:-0.5631
  43: x:1.2589, y:0.5207, t:-0.5377
  44: x:1.2853, y:0.6924, t:-0.5564
  45: x:1.2754, y:0.3754, t:-0.5752
  46: x:1.3054, y:-0.0619, t:-0.6341
  47: x:1.3123, y:-0.0796, t:-0.5427
  48: x:1.2772, y:-0.2522, t:-0.6116
  49: x:1.2271, y:-0.7630, t:-0.6671
  50: x:1.0107, y:-0.7620, t:-0.5856
  51: x:0.9773, y:-0.7872, t:-0.6485
  52: x:0.8756, y:-0.8095, t:-0.6866
  53: x:0.9566, y:-0.7999, t:-0.6812
  54: x:0.7889, y:-0.7584, t:-0.5688
  55: x:0.9128, y:-0.7873, t:-0.6529
  56: x:1.2678, y:-0.5549, t:-0.5807
  57: x:1.1392, y:-0.7912, t:-0.5832
  58: x:1.2598, y:-0.1387, t:-0.1344
  59: x:1.1928, y:-0.8141, t:-0.5858
  60: x:0.9218, y:-0.7414, t:-0.1931
  61: x:1.3046, y:0.1710, t:0.1239
  62: x:1.3243, y:0.5963, t:0.5036
  63: x:1.3262, y:0.2928, t:0.3767
  64: x:1.3105, y:0.1406, t:0.5104
  65: x:1.3032, y:0.4091, t:0.2963
  66: x:1.2543, y:0.0566, t:0.4174
  67: x:1.2751, y:0.6377, t:0.5247
  68: x:1.2862, y:0.9170, t:0.5171
  69: x:1.2564, y:1.0755, t:0.6044
  70: x:1.2486, y:1.3950, t:0.6306
  71: x:0.1283, y:2.5474, t:0.9428
  72: x:-1.2892, y:2.3218, t:0.9988
  73: x:-1.2972, y:2.3167, t:0.9831
  74: x:-1.2846, y:2.1084, t:0.9759
  75: x:-1.2598, y:2.1545, t:0.9755
  76: x:-1.3066, y:1.8538, t:0.9633
  77: x:-1.2660, y:1.8836, t:0.9519
  78: x:-1.3037, y:1.9268, t:0.9554
  79: x:-1.2867, y:1.7964, t:0.9365
  80: x:-1.2627, y:1.9431, t:0.9294
  81: x:-1.3012, y:1.6602, t:0.8990
  82: x:-1.2891, y:1.5394, t:0.8795
  83: x:-1.3235, y:1.4612, t:0.8544
  84: x:-1.3221, y:1.3234, t:0.8268
  85: x:-1.3212, y:1.5998, t:0.8027
  86: x:-1.2579, y:1.2680, t:0.7325
  87: x:-1.2852, y:1.2515, t:0.7727
  88: x:-1.3161, y:1.1491, t:0.7615
  89: x:-1.2517, y:1.4410, t:0.8004
  90: x:-1.2855, y:1.4403, t:0.7764
  91: x:-1.3166, y:1.1134, t:0.7551
  92: x:-1.3059, y:1.1356, t:0.7309
  93: x:-1.3061, y:1.1910, t:0.7407
  94: x:-1.2868, y:1.1461, t:0.7293
  95: x:-1.3249, y:1.1902, t:0.7190
  96: x:-1.3311, y:1.2653, t:0.6954
  97: x:-1.3109, y:1.0220, t:0.7188
  98: x:-1.2565, y:1.0060, t:0.6742
  99: x:-1.2915, y:0.8050, t:0.6448
 100: x:-1.2558, y:0.8013, t:0.6442
