   1: x:-1.2810, y:0.8632, t:-0.4686
   2: x:-1.3167, y:0.7870, t:-0.5408
   3: x:-1.3172, y:0.3998, t:-0.5135
   4: x:-1.3085, y:0.3244, t:-0.4693
   5: x:-1.2837, y:0.8486, t:-0.4809
   6: x:-1.2710, y:0.5357, t:-0.4177
   7: x:-1.3048, y:0.3972, t:-0.2444
   8: x:-1.2969, y:0.4022, t:-0.2231
   9: x:-1.2829, y:0.4344, t:-0.0784
  10: x:-1.2719, y:0.3598, t:0.0502
  11: x:-1.2817, y:1.5141, t:0.4084
  12: x:-1.2997, y:1.5788, t:0.4968
  13: x:-1.2666, y:1.8543, t:0.4007
  14: x:-1.2815, y:1.9635, t:0.4856
  15: x:-1.2789, y:2.3033, t:0.5785
  16: x:-1.2260, y:2.5499, t:0.6967
  17: x:-0.6931, y:2.5609, t:0.5929
  18: x:-0.5096, y:2.5769, t:0.5524
  19: x:-0.6227, y:2.5859, t:0.6359
  20: x:-0.2235, y:2.5677, t:0.4836
  21: x:-0.2104, y:2.5616, t:0.5128
  22: x:0.2858, y:2.6194, t:0.4894
  23: x:0.3942, y:2.5492, t:0.4409
  24: x:0.3872, y:2.6106, t:0.4195
  25: x:0.9860, y:2.5984, t:0.3480
  26: x:0.8668, y:2.5808, t:0.3185
  27: x:1.2652, y:0.9976, t:-0.2571
  28: x:1.3111, y:0.8602, t:-0.1285
  29: x:1.2580, y:0.7109, t:-0.2489
  30: x:1.2992, y:0.7088, t:-0.1988
  31: x:1.2944, y:0.4557, t:-0.3642
  32: x:1.2841, y:0.4811, t:-0.4205
  33: x:1.2725, y:0.5461, t:-0.3609
  34: x:1.2537, y:-0.0585, t:-0.5295
  35: x:1.2423, y:0.2818, t:-0.3619
  36: x:1.2734, y:0.1757, t:-0.5050
  37: x:1.2425, y:-0.1606, t:-0.5230
  38: x:1.2538, y:-0.2810, t:-0.5746
  39: x:1.2605, y:-0.6204, t:-0.6324
  40: x:0.8235, y:-0.8054, t:-0.5931
  41: x:1.2885, y:-0.4576, t:-0.5958
  42: x:1.0457, y:-0.7591, t:-0.6370
  43: x:1.0136, y:-0.7615, t:-0.6096
  44: x:1.0596, y:-0.8168, t:-0.6617
  45: x:1.2601, y:-0.5522, t:-0.5788
  46: x:1.0859, y:-0.8162, t:-0.6418
  47: x:1.2860, y:-0.5314, t:-0.5213
  48: x:1.2247, y:-0.7407, t:-0.5651
  49: x:1.2901, y:-0.1634, t:-0.3483
  50: x:1.2609, y:-0.5942, t:-0.5021
  51: x:1.2819, y:-0.1454, t:-0.4020
  52: x:1.2651, y:0.2472, t:-0.2808
  53: x:1.3131, y:0.0382, t:-0.3521
  54: x:1.2670, y:0.4792, t:-0.1926
  55: x:1.2782, y:0.3855, t:-0.1788
  56: x:1.2702, y:1.0660, t:0.0007
  57: x:1.2912, y:0.9976, t:-0.0557
  58: x:1.2545, y:1.3180, t:-0.0173
  59: x:1.2724, y:1.3246, t:0.1211
  60: x:1.2805, y:1.4727, t:0.0693
  61: x:1.2877, y:1.4393, t:0.1015
  62: x:1.2918, y:0.9711, t:0.1040
  63: x:0.7247, y:3.7838, t:0.6264
  64: x:0.7053, y:3.2874, t:0.5224
  65: x:0.8635, y:2.7347, t:0.5624
  66: x:0.4343, y:2.6955, t:0.6031
  67: x:0.6824, y:2.8321, t:0.6142
  68: x:0.3365, y:2.6022, t:0.6131
  69: x:0.5702, y:2.6016, t:0.6180
  70: x:-0.1401, y:2.5627, t:0.7752
  71: x:-1.2986, y:2.2415, t:0.9370
  72: x:-0.1743, y:2.5632, t:0.7511
  73: x:-1.2430, y:2.1692, t:0.9536
  74: x:-1.3157, y:2.4300, t:0.9740
  75: x:-1.2539, y:1.9747, t:0.9192
  76: x:-1.2913, y:2.1911, t:0.9619
  77: x:-1.2871, y:2.2286, t:0.9743
  78: x:-1.3057, y:2.2756, t:0.9785
  79: x:-1.2582, y:1.8193, t:0.9468
  80: x:-1.2463, y:2.1202, t:0.9820
  81: x:-1.2435, y:1.9894, t:0.9657
  82: x:-1.2540, y:1.7406, t:0.9898
  83: x:-1.2545, y:1.9451, t:0.9783
  84: x:-1.2705, y:1.7232, t:0.9553
  85: x:-1.2844, y:1.7406, t:0.9831
  86: x:-1.2661, y:1.6336, t:0.9817
  87: x:-1.2633, y:1.6012, t:0.9249
  88: x:-1.2436, y:1.3943, t:0.9839
  89: x:-1.2496, y:1.4616, t:0.9613
  90: x:-1.2717, y:1.4227, t:0.9298
  91: x:-1.2436, y:1.3851, t:0.9367
  92: x:-1.2504, y:1.5751, t:0.9758
  93: x:-1.2609, y:1.6168, t:0.9203
  94: x:-1.2476, y:1.7810, t:0.9038
  95: x:-1.2537, y:1.5708, t:0.9771
  96: x:-1.2700, y:1.3769, t:0.9232
  97: x:-1.2540, y:1.5665, t:0.9773
  98: x:-1.2899, y:1.6138, t:0.9339
  99: x:-1.2505, y:1.2585, t:0.9971
