   1: x:0.7768, y:-0.7923, t:0.9725
   2: x:1.2513, y:-0.1334, t:0.9886
   3: x:1.0717, y:-0.7987, t:0.9899
   4: x:1.2654, y:0.7505, t:0.9847
   5: x:0.9393, y:-0.7645, t:0.9545
   6: x:1.0249, y:-0.7956, t:0.9661
   7: x:1.2651, y:0.2439, t:0.9938
   8: x:1.2610, y:0.3804, t:0.9770
   9: x:1.1972, y:-0.7739, t:0.9769
  10: x:1.1506, y:-0.7721, t:0.9778
  11: x:1.2596, y:0.0588, t:0.9964
  12: x:1.2585, y:0.0385, t:0.9951
  13: x:1.2872, y:0.3390, t:0.9789
  14: x:1.1620, y:-0.7603, t:0.9787
  15: x:1.2458, y:-0.0857, t:0.9975
  16: x:1.2713, y:0.1482, t:0.9886
  17: x:1.1930, y:-0.7901, t:0.9875
  18: x:1.2549, y:-0.1592, t:0.9979
  19: x:1.2870, y:0.2236, t:0.9776
  20: x:1.2127, y:-0.7678, t:0.9910
  21: x:1.2768, y:0.1109, t:0.9814
  22: x:1.2580, y:0.0225, t:0.9937
  23: x:1.2687, y:0.1478, t:0.9828
  24: x:1.2465, y:0.0701, t:0.9897
  25: x:1.1759, y:-0.8073, t:0.9849
  26: x:1.2721, y:-0.0350, t:0.9944
  27: x:1.2571, y:0.1726, t:0.9900
  28: x:1.2455, y:-0.1948, t:0.9969
  29: x:1.2629, y:0.1576, t:0.9832
  30: x:1.2505, y:0.1421, t:0.9869
  31: x:1.2654, y:-0.0986, t:0.9967
  32: x:1.2810, y:0.2430, t:0.9839
  33: x:0.9913, y:-0.7691, t:0.9849
  34: x:1.2525, y:-0.1742, t:0.9980
  35: x:1.2834, y:0.3139, t:0.9728
  36: x:1.2676, y:0.1635, t:0.9795
  37: x:1.2856, y:0.1442, t:0.9927
  38: x:1.2749, y:0.3255, t:0.9753
  39: x:1.2696, y:0.0797, t:0.9932
  40: x:1.2732, y:0.1176, t:0.9886
  41: x:1.2459, y:-0.0043, t:0.9927
  42: x:0.9947, y:-0.7898, t:0.9878
  43: x:1.2566, y:0.0010, t:0.9928
  44: x:1.2582, y:-0.1503, t:0.9995
  45: x:1.2771, y:0.1292, t:0.9802
  46: x:1.1573, y:-0.8173, t:0.9880
  47: x:1.2440, y:0.4217, t:0.9577
  48: x:1.2784, y:0.1025, t:0.9839
  49: x:1.2422, y:0.2192, t:0.9738
  50: x:1.2512, y:0.2372, t:0.9752
  51: x:1.2474, y:0.1274, t:0.9721
  52: x:1.2745, y:0.7073, t:0.8886
  53: x:1.2517, y:1.2016, t:-0.8265
  54: x:1.2433, y:1.3900, t:-0.7563
  55: x:1.2798, y:0.8339, t:-0.8507
  56: x:1.3327, y:1.2749, t:-0.7433
  57: x:1.2921, y:1.6153, t:-0.6696
  58: x:1.2985, y:2.3834, t:-0.5641
  59: x:1.2562, y:2.4878, t:-0.5110
  60: x:1.3214, y:2.4136, t:-0.5692
  61: x:1.2573, y:2.7241, t:-0.4812
  62: x:1.2620, y:3.1011, t:-0.4789
  63: x:0.1619, y:2.5781, t:-0.2621
  64: x:0.3300, y:2.5442, t:-0.3017
  65: x:0.9242, y:2.9681, t:-0.4377
  66: x:0.2197, y:2.6088, t:-0.2383
  67: x:0.0920, y:2.5632, t:-0.2439
  68: x:0.6095, y:2.6907, t:-0.4130
  69: x:0.6447, y:2.7317, t:-0.3183
  70: x:0.3832, y:2.5788, t:-0.3236
  71: x:-0.0547, y:2.5640, t:-0.2256
  72: x:0.3685, y:2.5560, t:-0.3316
  73: x:0.2559, y:2.5725, t:-0.3602
  74: x:-0.2120, y:2.5543, t:-0.1377
  75: x:0.2598, y:2.5728, t:-0.3052
  76: x:0.3681, y:2.5699, t:-0.3227
  77: x:0.2156, y:2.5924, t:-0.2989
  78: x:0.5902, y:2.6037, t:-0.4559
  79: x:1.2884, y:2.1183, t:-0.7365
  80: x:1.2621, y:1.4677, t:-0.7454
  81: x:1.2821, y:1.3712, t:-0.7661
  82: x:1.2764, y:1.5887, t:-0.7682
  83: x:1.2600, y:0.4787, t:0.9263
  84: x:1.2970, y:1.0120, t:-0.8308
  85: x:1.2689, y:0.6161, t:0.8984
  86: x:1.2905, y:0.6148, t:0.8782
  87: x:1.2424, y:0.4804, t:0.9462
  88: x:1.2479, y:0.4883, t:0.9035
  89: x:1.2542, y:0.3632, t:0.9509
  90: x:1.2720, y:0.1293, t:0.9844
  91: x:1.2524, y:0.2387, t:0.9711
  92: x:1.2415, y:0.2411, t:0.9558
  93: x:1.2705, y:0.6284, t:0.9578
  94: x:1.1902, y:-0.7695, t:0.9872
  95: x:1.2524, y:0.2356, t:0.9745
  96: x:1.2972, y:0.3356, t:0.9673
  97: x:1.2794, y:0.6294, t:0.9412
  98: x:1.2445, y:0.4231, t:0.9546
  99: x:1.2820, y:0.0798, t:0.9833
 100: x:1.2990, y:0.4779, t:0.9564
