   1: x:-0.4144, y:-0.7769, t:-0.7868
   2: x:-0.5111, y:-0.7436, t:-0.4136
   3: x:-1.3213, y:1.1640, t:0.9926
   4: x:-1.3029, y:1.6314, t:0.9297
   5: x:-1.2613, y:0.8668, t:0.9490
   6: x:1.2591, y:-0.1561, t:0.9978
   7: x:1.2791, y:0.2294, t:0.9794
   8: x:1.2706, y:-0.0254, t:0.9991
   9: x:1.2732, y:0.0131, t:0.9926
  10: x:1.2639, y:0.1093, t:0.9926
  11: x:1.2542, y:-0.1058, t:0.9972
  12: x:1.2849, y:0.1636, t:0.9786
  13: x:1.2053, y:-0.7423, t:0.9934
  14: x:1.2721, y:-0.1177, t:0.9980
  15: x:1.2702, y:0.0291, t:0.9939
  16: x:1.1666, y:-0.8231, t:0.9822
  17: x:1.2708, y:0.2109, t:0.9790
  18: x:0.9818, y:-0.8322, t:0.9833
  19: x:1.2695, y:0.3418, t:0.9652
  20: x:1.2478, y:0.2588, t:0.9760
  21: x:1.2722, y:0.1750, t:0.9772
  22: x:1.2716, y:-0.0838, t:0.9939
  23: x:1.2542, y:-0.1414, t:0.9991
  24: x:1.2518, y:0.4187, t:0.9648
  25: x:1.2778, y:0.0083, t:0.9904
  26: x:1.1712, y:-0.7860, t:0.9820
  27: x:1.2552, y:0.1601, t:0.9811
  28: x:1.2574, y:0.0105, t:0.9921
  29: x:1.1468, y:-0.7468, t:0.9854
  30: x:1.1491, y:-0.7818, t:0.9844
  31: x:1.2460, y:0.5631, t:0.9423
  32: x:1.0673, y:-0.7536, t:0.9849
  33: x:1.2758, y:0.0839, t:0.9877
  34: x:1.2461, y:0.2910, t:0.9728
  35: x:1.0108, y:-0.7811, t:0.9819
  36: x:1.2686, y:0.3156, t:0.9718
  37: x:1.2826, y:0.1846, t:0.9801
  38: x:1.2591, y:0.1226, t:0.9816
  39: x:1.2817, y:0.2130, t:0.9754
  42: x:-1.2409, y:0.1550, t:0.9975
  43: x:-1.2848, y:-0.0626, t:0.9508
  44: x:-1.2912, y:-0.3466, t:0.9093
  45: x:-1.2439, y:-0.4483, t:0.8914
  46: x:-1.2482, y:-0.5070, t:0.9096
  47: x:-0.1579, y:-0.7467, t:-0.6610
  48: x:0.3050, y:-0.7569, t:-0.5671
  49: x:0.3256, y:-0.7681, t:-0.6366
  50: x:0.1401, y:-0.7799, t:-0.6112
  51: x:0.2196, y:-0.7610, t:-0.6442
  52: x:0.2945, y:-0.7721, t:-0.6435
  53: x:0.2901, y:-0.7672, t:-0.6561
  54: x:0.2779, y:-0.7496, t:-0.6496
  55: x:0.2362, y:-0.7538, t:-0.6606
  56: x:0.4035, y:-0.7470, t:-0.6105
  57: x:0.4474, y:-0.7487, t:-0.5658
  58: x:0.3457, y:-0.7438, t:-0.6378
  59: x:0.3406, y:-0.7460, t:-0.6199
  60: x:0.3627, y:-0.7482, t:-0.6468
  61: x:0.3307, y:-0.7736, t:-0.6541
  62: x:0.2380, y:-0.7559, t:-0.7023
  63: x:0.2486, y:-0.7529, t:-0.6784
  64: x:0.4574, y:-0.7630, t:-0.6939
  65: x:0.3020, y:-0.7783, t:-0.5899
  66: x:-1.2511, y:0.1798, t:0.9975
  67: x:0.4477, y:-0.7550, t:-0.5577
  68: x:0.3374, y:-0.7605, t:-0.6661
  69: x:0.2403, y:-0.7516, t:-0.6647
  70: x:0.2452, y:-0.7591, t:-0.6326
  71: x:0.3995, y:-0.7545, t:-0.6316
  72: x:0.2143, y:-0.7609, t:-0.6422
  73: x:0.4904, y:-0.7413, t:-0.5812
  74: x:0.1234, y:-0.7621, t:-0.6477
  75: x:0.1611, y:-0.7559, t:-0.6679
  76: x:0.2548, y:-0.7666, t:-0.6429
  77: x:0.4109, y:-0.7524, t:-0.5907
  78: x:0.0945, y:-0.7460, t:-0.6725
  79: x:0.3606, y:-0.7483, t:-0.6152
  80: x:0.4001, y:-0.7508, t:-0.6422
  81: x:0.5314, y:-0.7685, t:-0.6079
  82: x:0.4100, y:-0.7459, t:-0.5946
  83: x:0.2053, y:-0.7474, t:-0.6926
  84: x:0.2391, y:-0.7631, t:-0.6516
  85: x:0.3898, y:-0.7737, t:-0.6276
  86: x:0.3730, y:-0.7520, t:-0.6792
  87: x:0.4365, y:-0.7607, t:-0.5813
  88: x:0.2791, y:-0.7427, t:-0.7290
  89: x:0.0376, y:-0.7452, t:-0.7481
  90: x:0.3954, y:-0.7727, t:-0.6065
  91: x:0.1988, y:-0.7545, t:-0.6878
  92: x:0.2796, y:-0.7567, t:-0.6500
  93: x:0.4024, y:-0.7501, t:-0.6219
  94: x:0.4899, y:-0.7576, t:-0.6078
  95: x:0.3852, y:-0.7785, t:-0.5989
  96: x:0.5073, y:-0.7516, t:-0.6224
  97: x:0.2617, y:-0.7642, t:-0.6433
  98: x:0.4664, y:-0.7541, t:-0.5870
  99: x:0.4263, y:-0.7459, t:-0.5756
 100: x:0.3697, y:-0.7610, t:-0.6027
