   1: x:-0.0838, y:-0.7449, t:0.6734
   2: x:1.2771, y:-0.3919, t:0.9266
   3: x:1.3035, y:-0.1885, t:0.9455
   4: x:1.2924, y:0.2867, t:0.9806
   6: x:1.2868, y:-0.2208, t:0.9773
   7: x:1.2948, y:-0.3692, t:0.9509
   8: x:-1.1169, y:-0.8314, t:0.1478
  10: x:-1.2511, y:-0.0813, t:0.9995
  13: x:-0.3619, y:-0.7662, t:0.8071
  14: x:-0.4719, y:-0.7543, t:0.9009
  15: x:-0.7954, y:-0.8201, t:0.9013
  16: x:-1.2433, y:-0.6811, t:0.8022
  17: x:-1.1156, y:-0.7469, t:0.6898
  18: x:-1.2844, y:-0.2922, t:0.5845
  19: x:-1.2705, y:-0.2939, t:0.6203
  20: x:-1.3157, y:-0.1904, t:0.5302
  21: x:-1.2440, y:-0.6014, t:0.5844
  22: x:-1.3298, y:-0.2064, t:0.5372
  23: x:-1.3366, y:0.0126, t:0.4736
  24: x:-1.2758, y:-0.3122, t:0.5757
  25: x:-1.2608, y:-0.0753, t:0.4803
  26: x:-1.2702, y:-0.1003, t:0.5103
  27: x:-1.3104, y:0.2354, t:0.3349
  28: x:-1.2594, y:0.1532, t:0.3583
  29: x:-1.2522, y:-0.1085, t:0.5252
  30: x:-1.2486, y:-0.0040, t:0.3998
  31: x:-1.2764, y:-0.0239, t:0.4157
  32: x:-1.2685, y:0.0013, t:0.4144
  33: x:-1.2447, y:-0.0533, t:0.4118
  34: x:-1.2887, y:0.0363, t:0.4243
  35: x:-1.3290, y:0.1229, t:0.3717
  36: x:-1.2727, y:0.1066, t:0.3594
  37: x:-1.2509, y:0.0990, t:0.3666
  38: x:-1.2705, y:0.1167, t:0.3748
  39: x:-1.2857, y:-0.0416, t:0.4409
  40: x:-1.3232, y:0.1156, t:0.3543
  41: x:-1.2890, y:0.0879, t:0.4738
  42: x:-1.2699, y:-0.0328, t:0.4493
  43: x:-1.2697, y:0.0338, t:0.5186
  44: x:-1.2420, y:0.0673, t:0.4709
  45: x:-1.2709, y:0.0830, t:0.4967
  46: x:-1.2830, y:0.1839, t:0.4962
  47: x:-1.2710, y:0.3386, t:0.4960
  48: x:-1.2798, y:0.3026, t:0.5154
  49: x:-1.2741, y:0.3351, t:0.5211
  50: x:-1.3214, y:0.3309, t:0.5402
  51: x:-1.2641, y:0.3765, t:0.4889
  52: x:-1.3275, y:0.3273, t:0.5399
  53: x:-1.3045, y:0.6575, t:0.5389
  54: x:-1.3323, y:0.9839, t:0.6207
  55: x:-1.2667, y:1.1710, t:0.6388
  56: x:-1.2771, y:1.0682, t:0.6138
  57: x:-1.3025, y:1.2247, t:0.6585
  58: x:-1.2434, y:1.2153, t:0.6192
  59: x:-1.2622, y:1.0743, t:0.5819
  60: x:-1.2631, y:1.0142, t:0.5924
  61: x:-1.3247, y:0.9708, t:0.6287
  62: x:-1.3000, y:0.9230, t:0.5529
  63: x:-1.2648, y:1.0674, t:0.5946
  64: x:-1.2788, y:0.7296, t:0.5956
  65: x:-1.3166, y:0.8296, t:0.5840
  66: x:-1.2433, y:0.9534, t:0.5785
  67: x:-1.2711, y:1.0534, t:0.6019
  68: x:-1.2490, y:0.9645, t:0.5661
  69: x:-1.2613, y:0.9697, t:0.5890
  70: x:-1.2913, y:1.0909, t:0.6270
  71: x:-1.2886, y:1.1758, t:0.6478
  72: x:-1.2595, y:0.7293, t:0.5426
  73: x:-1.3373, y:0.8214, t:0.6273
  74: x:-1.3102, y:0.9492, t:0.6083
  75: x:-1.2688, y:0.9749, t:0.6096
  76: x:-1.2703, y:1.0840, t:0.6082
  77: x:-1.2716, y:1.1009, t:0.6224
  78: x:-1.2484, y:0.9181, t:0.5984
  79: x:-1.2840, y:1.1654, t:0.6406
  80: x:-1.3165, y:1.1595, t:0.6364
  81: x:-1.2665, y:1.2010, t:0.6562
  82: x:-1.2989, y:1.7654, t:0.7347
  83: x:-1.3094, y:1.1812, t:0.6826
  84: x:-1.2530, y:0.9607, t:0.6132
  85: x:-1.2696, y:1.2016, t:0.6448
  86: x:-1.2428, y:1.2785, t:0.6433
  87: x:-1.2747, y:1.1843, t:0.6401
  88: x:-1.2928, y:1.2978, t:0.6683
  89: x:-1.2594, y:1.4042, t:0.6794
  90: x:-1.3156, y:1.0882, t:0.6087
  91: x:-1.2461, y:1.2614, t:0.6423
  92: x:-1.2590, y:1.4087, t:0.6624
  93: x:-1.3058, y:1.1866, t:0.6327
  94: x:-1.2425, y:1.2206, t:0.6457
  95: x:-1.2814, y:1.0014, t:0.6283
  96: x:-1.2444, y:1.3708, t:0.6661
  97: x:-1.3083, y:1.3914, t:0.7106
  98: x:-1.3229, y:1.3387, t:0.6757
  99: x:-1.2903, y:1.4687, t:0.7136
 100: x:-1.2530, y:1.2733, t:0.6801
