   1: x:1.3192, y:-0.3985, t:-0.5720
   2: x:1.2830, y:-0.4130, t:-0.5748
   3: x:1.2687, y:-0.5845, t:-0.5520
   4: x:1.2978, y:-0.3422, t:-0.5640
   5: x:1.3274, y:-0.4371, t:-0.6151
   6: x:1.2518, y:-0.0003, t:-0.6047
   7: x:1.3081, y:-0.2264, t:-0.6505
   8: x:1.0508, y:-0.7888, t:0.9811
   9: x:1.0324, y:-0.7575, t:0.9910
  10: x:0.1548, y:-0.7525, t:0.9558
  11: x:-0.1177, y:-0.7438, t:0.9913
  12: x:0.5314, y:-0.7455, t:-0.6426
  13: x:1.2412, y:0.2991, t:0.3791
  14: x:1.2607, y:1.2562, t:0.3943
  15: x:0.4162, y:-0.7446, t:-0.6171
  16: x:0.3882, y:-0.7517, t:-0.6111
  17: x:0.3783, y:-0.7466, t:-0.6906
  18: x:0.2016, y:-0.7567, t:-0.5638
  19: x:0.6040, y:-0.7730, t:-0.5795
  20: x:0.4838, y:2.5583, t:0.8977
  21: x:-0.1834, y:2.5570, t:0.8671
  22: x:0.1446, y:2.6299, t:0.9026
  23: x:0.0747, y:2.5741, t:-0.8658
  24: x:-0.2933, y:2.5733, t:0.8729
  25: x:1.2899, y:1.8572, t:-0.8120
  26: x:1.2601, y:1.4679, t:-0.6850
  27: x:1.3150, y:1.5911, t:-0.7551
  28: x:1.3190, y:1.8157, t:-0.7923
  29: x:1.3258, y:1.7252, t:-0.8325
  30: x:1.3198, y:1.8975, t:-0.8315
  31: x:1.2521, y:1.8639, t:-0.8145
  32: x:1.3287, y:1.6417, t:-0.8506
  33: x:1.2722, y:1.7298, t:-0.8522
  34: x:1.2942, y:2.0822, t:0.8751
  35: x:1.3205, y:1.8824, t:0.8769
  36: x:1.3196, y:1.9886, t:0.8773
  37: x:1.3379, y:1.8637, t:-0.8577
  38: x:1.2698, y:2.0516, t:-0.8654
  39: x:1.3167, y:1.8999, t:0.8850
  40: x:1.3086, y:2.2058, t:0.8935
  41: x:1.2921, y:2.1802, t:0.8898
  42: x:1.2893, y:2.4854, t:0.9267
  43: x:1.2644, y:2.3871, t:0.9382
  44: x:1.3000, y:2.6448, t:0.9579
  45: x:1.2709, y:2.7432, t:0.9700
  46: x:0.6629, y:2.6354, t:0.9266
  47: x:1.3330, y:2.7357, t:0.9738
  48: x:0.2856, y:2.5625, t:0.8791
  49: x:0.7242, y:2.6165, t:0.9353
  50: x:0.2064, y:2.6136, t:0.8793
  51: x:-0.2166, y:2.5928, t:0.8857
  52: x:-0.0587, y:2.5942, t:0.8978
  53: x:-0.3336, y:2.6121, t:0.9157
  54: x:-0.6854, y:2.5571, t:0.9231
  55: x:-0.5003, y:2.5422, t:0.9171
  56: x:-0.5488, y:2.5615, t:0.9408
  57: x:-0.6456, y:2.5803, t:0.9289
  58: x:-0.6804, y:2.5532, t:0.9312
  59: x:-0.5615, y:2.5471, t:0.9191
  60: x:-0.8793, y:2.5725, t:0.9192
  61: x:-0.6547, y:2.5488, t:0.9577
  62: x:-0.8609, y:2.5453, t:0.9053
  63: x:-0.7006, y:2.5929, t:0.9349
  64: x:-0.7917, y:2.5768, t:0.9336
  65: x:-0.6831, y:2.5771, t:0.9343
  66: x:-0.7935, y:2.5661, t:0.9161
  67: x:-0.5679, y:2.5889, t:0.9526
  68: x:-1.2707, y:1.0820, t:-0.5946
  69: x:-0.7570, y:2.5933, t:0.9270
  70: x:-0.7531, y:2.5995, t:0.9258
  71: x:-0.8185, y:2.5692, t:0.9231
  72: x:-0.8228, y:2.6212, t:0.9027
  73: x:-0.4060, y:2.6086, t:0.9178
  74: x:-0.5060, y:2.5501, t:0.8984
  75: x:-0.2378, y:2.5882, t:0.9092
  76: x:-0.1689, y:2.5710, t:0.8919
  77: x:-0.1708, y:2.5843, t:0.8850
  78: x:0.0643, y:2.5466, t:0.8869
  79: x:0.0119, y:2.5447, t:0.9003
  80: x:0.1263, y:2.5853, t:0.8932
  81: x:0.1674, y:2.5926, t:0.8749
  82: x:1.3269, y:2.7442, t:0.9794
  83: x:1.3268, y:2.3951, t:0.9616
  84: x:1.3081, y:2.3904, t:0.9578
  85: x:1.2560, y:1.8623, t:0.9136
  86: x:1.3147, y:1.5630, t:0.8757
  87: x:1.2585, y:1.8897, t:0.8719
  88: x:1.2842, y:1.0448, t:0.8860
  89: x:1.2782, y:1.6489, t:0.8758
  90: x:1.2748, y:1.4050, t:-0.8574
  91: x:1.2413, y:1.1082, t:-0.7616
  92: x:1.2440, y:1.0817, t:-0.7754
  93: x:1.2658, y:1.3336, t:-0.7995
  94: x:1.2423, y:1.4276, t:-0.8482
  95: x:1.2496, y:0.8972, t:-0.7533
  96: x:1.2526, y:1.4396, t:-0.8269
  97: x:1.2680, y:2.4361, t:0.9567
  98: x:1.3065, y:1.5740, t:0.8885
  99: x:1.2581, y:2.0013, t:0.9407
 100: x:1.2841, y:1.9976, t:0.8831
