   2: x:1.2470, y:2.2112, t:0.5009
   3: x:-1.2439, y:1.3876, t:0.9337
   5: x:-1.2561, y:0.6730, t:-0.6970
   6: x:-0.8085, y:2.5430, t:-0.3414
   7: x:-1.2681, y:0.4208, t:-0.8359
   8: x:-1.2620, y:0.9012, t:-0.8358
   9: x:-1.2561, y:0.5259, t:-0.7567
  10: x:-1.3025, y:0.6179, t:-0.8161
  11: x:-1.2712, y:0.7675, t:0.9145
  12: x:-1.2653, y:0.6402, t:-0.7929
  13: x:-1.2444, y:0.4108, t:-0.6964
  14: x:-1.2924, y:0.5537, t:-0.7212
  15: x:-0.8374, y:2.7490, t:0.9960
  16: x:-1.2765, y:1.0178, t:-0.8205
  17: x:-1.2901, y:0.7415, t:-0.7522
  18: x:-1.3139, y:0.8084, t:-0.6959
  19: x:-1.2972, y:0.4400, t:-0.6494
  20: x:-1.3168, y:0.4764, t:-0.6460
  21: x:-1.3113, y:0.9553, t:-0.7578
  22: x:-1.2745, y:0.5544, t:-0.6660
  23: x:-1.2789, y:0.7359, t:-0.6873
  24: x:-1.2492, y:0.6050, t:-0.6490
  25: x:-1.2432, y:0.2824, t:-0.5646
  26: x:-1.2872, y:0.5867, t:-0.5834
  27: x:-1.3099, y:0.6860, t:-0.6799
  28: x:-1.2851, y:0.1154, t:-0.4461
  29: x:-1.2449, y:1.2577, t:-0.4812
  30: x:-1.2719, y:1.9837, t:-0.6127
  31: x:-1.2429, y:0.9154, t:0.4250
  32: x:1.2555, y:1.6643, t:-0.7636
  33: x:1.2902, y:2.3790, t:-0.4818
  34: x:0.7977, y:2.5672, t:-0.2282
  35: x:0.5489, y:2.5546, t:-0.0647
  36: x:0.5596, y:2.5998, t:-0.1177
  37: x:0.9372, y:2.5586, t:-0.0842
  38: x:0.3441, y:6.8137, t:0.4643
  39: x:0.6441, y:2.6660, t:0.0937
  40: x:1.2221, y:2.5583, t:0.1299
  41: x:0.6001, y:2.7050, t:0.3750
  42: x:0.5390, y:2.6090, t:0.2832
  43: x:0.6607, y:2.7753, t:0.5850
  44: x:0.6271, y:2.5610, t:0.3013
  45: x:0.5597, y:2.7036, t:0.6306
  46: x:0.7317, y:2.7438, t:0.4892
  47: x:0.9228, y:2.9195, t:0.6894
  48: x:0.7918, y:2.8363, t:0.7082
  49: x:0.9336, y:2.9255, t:0.7764
  50: x:0.8825, y:3.0113, t:0.8190
  51: x:0.8089, y:2.8266, t:0.8037
  52: x:0.8152, y:2.8126, t:0.8428
  53: x:1.1821, y:3.0436, t:0.8568
  54: x:0.9261, y:2.9576, t:0.8521
  55: x:0.8852, y:2.7828, t:0.7787
  56: x:0.8062, y:2.7213, t:0.8335
  57: x:0.5343, y:2.5602, t:0.8687
  58: x:0.6309, y:2.7136, t:0.8071
  59: x:1.0407, y:2.8148, t:0.8465
  60: x:1.2500, y:2.4948, t:0.7542
  61: x:1.0210, y:2.7957, t:0.8457
  62: x:1.2081, y:2.9114, t:0.8546
  63: x:1.1134, y:2.9147, t:0.8297
  64: x:1.1735, y:2.9713, t:0.8382
  65: x:1.1531, y:2.7949, t:0.8452
  66: x:1.2496, y:1.5050, t:0.3712
  67: x:0.8640, y:2.8124, t:0.8684
  68: x:1.0612, y:2.8338, t:0.8446
  69: x:1.1265, y:2.8952, t:0.8111
  70: x:1.0469, y:2.7746, t:0.8658
  71: x:1.2607, y:2.2368, t:0.7865
  72: x:1.2618, y:2.4367, t:0.8040
  73: x:0.7031, y:2.8050, t:0.8543
  74: x:0.8648, y:2.6683, t:0.8914
  75: x:0.4105, y:2.6479, t:0.8006
  76: x:0.6233, y:2.7590, t:0.8113
  77: x:0.4717, y:2.6239, t:0.8337
  78: x:0.3513, y:2.5480, t:0.8338
  79: x:0.5653, y:2.6733, t:0.8578
  80: x:0.2657, y:2.5462, t:0.8696
  81: x:0.8902, y:2.6985, t:0.9116
  82: x:-1.2739, y:1.9095, t:0.9991
  83: x:0.7588, y:2.5545, t:0.9011
  84: x:-1.2569, y:1.8499, t:1.0000
  85: x:0.2534, y:2.5901, t:0.8404
  86: x:0.1060, y:2.5563, t:0.9272
  87: x:0.3084, y:2.6188, t:0.8200
  88: x:0.4352, y:2.5488, t:0.8554
  89: x:0.2891, y:2.6192, t:0.8259
  90: x:-1.2715, y:1.8728, t:0.9991
  91: x:0.0011, y:2.5597, t:0.8873
  92: x:0.0483, y:-0.7624, t:-0.4672
  93: x:-0.4160, y:-0.7587, t:-0.5842
  94: x:0.2401, y:2.6091, t:0.8797
  95: x:1.2612, y:0.3916, t:0.1867
  96: x:-1.2473, y:1.9473, t:0.9971
