   1: x:-1.2722, y:0.7154, t:-0.4730
   2: x:-1.2513, y:0.5420, t:-0.4557
   3: x:-1.2432, y:0.3371, t:-0.2897
   4: x:-1.2700, y:0.7541, t:-0.3723
   5: x:-1.3066, y:0.8398, t:-0.2152
   6: x:-1.2576, y:0.8284, t:-0.1811
   7: x:-1.2950, y:1.3495, t:-0.2045
   8: x:-1.2514, y:0.9051, t:-0.1705
   9: x:-1.3233, y:0.8864, t:-0.0128
  10: x:-1.2919, y:1.1874, t:-0.0689
  11: x:-1.2656, y:1.2978, t:-0.0544
  12: x:-1.2824, y:1.3451, t:-0.0434
  13: x:-1.2768, y:1.4022, t:0.0161
  14: x:-1.2531, y:1.5169, t:-0.0173
  15: x:-1.0844, y:2.5696, t:-0.1607
  16: x:-1.2757, y:1.8723, t:-0.0854
  17: x:-1.2631, y:1.8145, t:-0.0566
  18: x:-1.2541, y:2.2049, t:-0.0308
  19: x:-1.2457, y:1.5769, t:0.0207
  20: x:-1.0920, y:2.5744, t:-0.1242
  21: x:-1.2435, y:2.8640, t:-0.1298
  22: x:-1.1143, y:6.7805, t:-0.2812
  23: x:-1.2471, y:4.4820, t:-0.0787
  24: x:-0.9134, y:2.7746, t:-0.1528
  25: x:-0.5361, y:2.5772, t:-0.1294
  26: x:-0.6812, y:2.8324, t:-0.0889
  27: x:-0.5030, y:2.5733, t:-0.0702
  28: x:-0.3919, y:2.6222, t:-0.0335
  29: x:-0.4473, y:2.6191, t:0.0245
  30: x:-0.4631, y:2.7553, t:-0.0967
  31: x:-0.3003, y:2.5574, t:-0.2722
  32: x:0.0133, y:2.5888, t:-0.2691
  33: x:-0.5418, y:2.6276, t:-0.0390
  34: x:-0.7943, y:2.7506, t:-0.1957
  35: x:-0.1945, y:2.5686, t:-0.3633
  36: x:-0.4294, y:2.6082, t:-0.2819
  37: x:0.3106, y:2.5776, t:-0.4831
  38: x:-0.7318, y:2.6285, t:-0.2618
  39: x:1.3056, y:6.2525, t:0.9264
  40: x:0.1597, y:2.5779, t:-0.6012
  41: x:0.1251, y:2.5681, t:-0.6191
  42: x:-1.2640, y:4.0908, t:-0.5353
  43: x:1.2474, y:5.1915, t:0.9996
  44: x:-1.2673, y:1.7469, t:-0.3229
  45: x:-1.2535, y:3.8465, t:-0.5469
  46: x:1.2848, y:2.0505, t:0.9881
  47: x:-0.3956, y:2.5700, t:-0.7368
  48: x:-0.7631, y:2.5628, t:-0.5637
  49: x:-0.6257, y:2.6092, t:-0.7674
  50: x:-0.5407, y:2.6249, t:-0.3077
  51: x:-0.2894, y:2.5830, t:-0.8193
  52: x:0.6784, y:2.8185, t:-0.6797
  53: x:1.2968, y:1.9327, t:-0.3650
  54: x:-0.3825, y:2.5712, t:-0.8097
  55: x:-0.0820, y:2.5659, t:0.5772
  56: x:-0.8501, y:2.5791, t:-0.3779
  57: x:1.2550, y:0.3344, t:-0.3628
  58: x:1.2614, y:2.5238, t:0.3376
  59: x:-0.9390, y:2.7586, t:-0.3666
  60: x:-1.2501, y:0.9226, t:0.9531
  61: x:1.3027, y:-0.0595, t:-0.0276
  62: x:1.3038, y:1.0326, t:0.0621
  63: x:1.3088, y:0.8045, t:0.2192
  64: x:1.2864, y:0.2243, t:0.1529
  65: x:1.2944, y:1.5426, t:0.3205
  66: x:-0.6913, y:2.5548, t:-0.2096
  67: x:1.2720, y:1.2465, t:0.2252
  68: x:1.2437, y:1.1045, t:0.2084
  69: x:1.2411, y:1.5551, t:0.3988
  70: x:1.2679, y:0.1647, t:0.2317
  71: x:1.2674, y:-0.4798, t:0.0904
  72: x:1.2650, y:0.2957, t:0.1471
  73: x:1.2434, y:1.6593, t:0.9617
  77: x:1.2669, y:1.3875, t:0.9527
  78: x:-1.2593, y:1.7295, t:-0.7954
  79: x:-0.3349, y:2.6181, t:0.9667
  80: x:-1.2853, y:1.0956, t:-0.5420
  81: x:-0.2963, y:2.6396, t:0.9644
  82: x:-1.2412, y:1.8039, t:-0.7816
  83: x:-1.2556, y:1.8569, t:-0.5504
  84: x:-1.2999, y:0.5526, t:-0.5266
  85: x:-1.3187, y:1.1959, t:-0.4832
  86: x:-1.3111, y:0.6800, t:-0.5724
  87: x:-1.3001, y:1.2961, t:-0.5202
  88: x:-1.2638, y:0.5562, t:-0.4800
  89: x:-1.2815, y:1.3015, t:-0.5766
  90: x:-1.2671, y:1.4131, t:-0.4021
  91: x:-1.2886, y:1.3893, t:-0.3902
  92: x:-1.2744, y:0.5364, t:-0.4779
  93: x:-1.2439, y:0.7814, t:-0.4020
  94: x:-1.3161, y:1.1675, t:-0.4424
  95: x:-1.2684, y:2.0116, t:-0.5605
  96: x:-1.3161, y:0.5701, t:-0.4681
  97: x:-1.2519, y:2.1190, t:-0.5300
  98: x:-1.2743, y:1.7661, t:-0.5404
  99: x:-1.3023, y:0.6580, t:-0.4819
 100: x:-1.3032, y:0.8495, t:-0.5186
