   1: x:0.7183, y:2.9478, t:0.4512
   2: x:0.2049, y:2.7791, t:0.4877
   3: x:0.0144, y:2.7448, t:0.5686
   4: x:-0.1068, y:2.8217, t:0.6243
   5: x:-0.3576, y:2.7698, t:0.6594
   6: x:-0.5175, y:2.7674, t:0.7039
   7: x:-0.4757, y:2.7896, t:0.7816
   8: x:-0.5481, y:2.7859, t:0.7102
   9: x:-0.6108, y:2.7832, t:0.7280
  10: x:0.6052, y:2.8077, t:0.7414
  11: x:-1.3112, y:2.2132, t:0.9601
  12: x:1.2750, y:1.4632, t:0.4823
  13: x:1.2637, y:0.9756, t:0.3730
  14: x:1.2468, y:0.7779, t:0.3216
  15: x:1.3103, y:0.5833, t:0.2671
  16: x:1.2430, y:0.5527, t:0.2229
  17: x:1.2506, y:0.4894, t:0.2333
  18: x:1.2996, y:0.6921, t:0.1795
  19: x:1.2451, y:0.1225, t:0.0742
  20: x:1.2736, y:0.3522, t:0.1963
  21: x:1.3179, y:0.4594, t:0.1302
  22: x:1.3214, y:0.4773, t:0.0239
  23: x:1.3101, y:0.2582, t:0.0237
  24: x:1.2420, y:-0.4160, t:-0.0445
  25: x:1.2676, y:-0.3099, t:0.0211
  26: x:1.2980, y:-0.0682, t:0.0433
  27: x:1.3297, y:0.1382, t:0.0035
  28: x:1.2848, y:0.6590, t:0.0872
  29: x:1.3156, y:0.2211, t:0.0770
  30: x:1.2888, y:0.8334, t:0.1178
  31: x:1.2754, y:1.0996, t:0.1264
  32: x:1.2763, y:0.9874, t:0.1184
  33: x:1.2648, y:1.5775, t:0.1087
  34: x:1.2779, y:2.0718, t:0.1544
  35: x:1.2411, y:2.6420, t:0.1892
  36: x:1.2488, y:1.7520, t:0.0059
  37: x:1.2452, y:3.4120, t:0.1115
  38: x:1.2456, y:3.3701, t:0.0930
  39: x:1.2497, y:3.7387, t:0.1348
  40: x:1.2582, y:1.8504, t:-0.2050
  41: x:1.2463, y:1.9865, t:-0.2959
  42: x:1.3000, y:2.1033, t:-0.4352
  43: x:1.2576, y:1.8511, t:-0.5979
  44: x:1.2443, y:1.9247, t:-0.6558
  45: x:1.2914, y:1.7725, t:-0.7490
  46: x:1.2917, y:1.6483, t:-0.7350
  47: x:1.2742, y:1.5941, t:-0.7673
  48: x:1.3017, y:1.7791, t:-0.7398
  49: x:1.3020, y:1.7090, t:-0.8037
  50: x:1.3017, y:1.7532, t:-0.7784
  51: x:1.3049, y:1.4690, t:-0.7960
  52: x:1.2541, y:1.3741, t:-0.8408
  53: x:1.2651, y:1.3189, t:-0.8434
  54: x:1.2597, y:1.3626, t:-0.8565
  55: x:1.3344, y:1.6292, t:-0.8651
  56: x:1.2979, y:1.3824, t:0.8926
  57: x:1.2737, y:1.4618, t:0.8782
  58: x:1.3326, y:1.7713, t:0.9303
  59: x:1.2674, y:1.8338, t:0.9071
  60: x:1.2724, y:1.9203, t:0.9427
  61: x:1.2829, y:1.8793, t:0.9657
  62: x:1.2543, y:2.3046, t:0.9738
  63: x:1.2408, y:2.1908, t:0.9831
  64: x:1.2573, y:1.3407, t:0.9830
  65: x:-1.2491, y:1.0874, t:-0.2393
  66: x:-1.2678, y:1.1033, t:-0.2319
  67: x:-1.2780, y:0.5847, t:-0.0636
  68: x:-1.2499, y:0.7023, t:-0.0823
  69: x:-1.2602, y:0.6487, t:-0.1169
  70: x:-1.2708, y:0.6563, t:-0.1454
  71: x:1.2552, y:1.8357, t:0.9695
  72: x:-1.2448, y:0.5983, t:-0.1155
  73: x:-1.2733, y:0.7512, t:-0.0792
  74: x:-0.3609, y:2.7840, t:-0.8389
  75: x:-1.2654, y:0.6721, t:-0.0623
  76: x:1.2531, y:1.9952, t:0.9932
  77: x:1.2552, y:1.8273, t:0.9997
  78: x:1.2607, y:2.1914, t:0.9716
  79: x:1.2419, y:1.8599, t:0.9833
  80: x:1.2976, y:2.1055, t:0.9854
  81: x:1.2790, y:2.2471, t:0.9835
  82: x:1.2950, y:2.0387, t:0.9908
  83: x:-1.2506, y:0.8361, t:0.0138
  84: x:-1.2702, y:0.8923, t:0.0249
  85: x:-0.4110, y:2.7650, t:-0.8542
  86: x:1.2504, y:2.1431, t:0.9930
  87: x:-0.6091, y:2.8286, t:-0.8197
  88: x:1.2853, y:2.0052, t:0.9850
  89: x:1.2714, y:2.1140, t:0.9710
  90: x:1.2466, y:1.7738, t:0.9803
  91: x:1.2436, y:1.4449, t:0.9200
  92: x:-0.3095, y:2.7820, t:-0.3312
  93: x:-1.2492, y:-0.0299, t:0.5882
  94: x:1.2848, y:-0.6639, t:-0.8354
  95: x:1.2443, y:1.4993, t:-0.7914
  96: x:1.2900, y:1.8089, t:-0.7121
  97: x:1.2816, y:2.3681, t:-0.6005
  98: x:1.3086, y:1.7115, t:-0.7058
  99: x:1.2439, y:2.0172, t:-0.6065
 100: x:1.2777, y:1.8380, t:-0.6749
