   1: x:-1.2505, y:0.4852, t:-0.2950
   2: x:-1.3179, y:0.7436, t:-0.3767
   3: x:-1.2554, y:0.2908, t:-0.2139
   4: x:-1.2889, y:0.4058, t:-0.2497
   5: x:-1.2827, y:0.4685, t:-0.2226
   6: x:-1.2510, y:0.3927, t:-0.0941
   7: x:-1.3132, y:0.3823, t:-0.2281
   8: x:-1.3139, y:0.3234, t:-0.2665
   9: x:-1.2832, y:0.4990, t:-0.2564
  10: x:-1.2444, y:0.3899, t:-0.1945
  11: x:-1.2517, y:0.3895, t:-0.2024
  12: x:-1.3298, y:0.5441, t:-0.2210
  13: x:-1.3197, y:0.4430, t:-0.2636
  14: x:-1.3104, y:0.4760, t:-0.2948
  15: x:-1.2781, y:0.6096, t:-0.2946
  16: x:-1.2870, y:1.1547, t:-0.4995
  17: x:-1.2883, y:0.5337, t:-0.2949
  18: x:1.2498, y:1.8976, t:0.9809
  19: x:1.2674, y:1.6021, t:0.9426
  20: x:1.2421, y:1.8340, t:0.9868
  21: x:1.2535, y:2.2296, t:0.9954
  22: x:1.2664, y:2.1131, t:0.9841
  23: x:1.2496, y:1.9536, t:0.9541
  24: x:1.3297, y:2.1139, t:0.9837
  25: x:1.3198, y:2.2502, t:0.9684
  26: x:1.2804, y:2.2834, t:0.9791
  27: x:1.2876, y:2.2267, t:0.9872
  28: x:1.2666, y:2.0223, t:0.9750
  29: x:1.2860, y:1.8927, t:0.9251
  30: x:1.2846, y:2.0237, t:0.9112
  31: x:1.2726, y:0.9889, t:-0.8278
  32: x:1.3069, y:1.1459, t:-0.8239
  33: x:1.2832, y:1.1122, t:-0.8113
  34: x:1.3305, y:1.0264, t:-0.8180
  35: x:1.2420, y:0.7670, t:-0.8158
  36: x:1.3141, y:1.0983, t:-0.7447
  37: x:1.2623, y:1.4614, t:-0.6804
  38: x:1.2538, y:2.0830, t:-0.6471
  39: x:1.2529, y:3.6028, t:-0.5276
  40: x:1.2485, y:3.2555, t:-0.6086
  41: x:1.2669, y:2.9886, t:-0.6258
  42: x:1.2923, y:2.7756, t:-0.6775
  43: x:1.2892, y:3.1473, t:-0.6472
  44: x:1.2572, y:2.9023, t:-0.5853
  45: x:1.2504, y:4.7318, t:-0.5789
  46: x:1.2543, y:4.3027, t:-0.6001
  47: x:0.4841, y:2.7950, t:-0.4826
  48: x:0.3452, y:2.8144, t:-0.4226
  49: x:0.2983, y:2.7791, t:-0.3618
  50: x:-0.2615, y:2.8064, t:-0.2526
  51: x:-0.4388, y:2.7438, t:-0.1340
  52: x:-1.2675, y:3.7531, t:0.0344
  53: x:-1.3034, y:3.0512, t:0.2247
  54: x:-1.2715, y:3.0448, t:0.2241
  55: x:-1.2739, y:2.3182, t:0.3022
  56: x:-1.2933, y:1.8477, t:0.3737
  57: x:-1.2552, y:2.3182, t:0.4091
  58: x:-1.2584, y:2.5617, t:0.3390
  59: x:-1.2716, y:2.5080, t:0.3263
  60: x:-1.2790, y:3.0231, t:0.2511
  61: x:-1.3251, y:2.8127, t:0.2257
  62: x:-1.2505, y:2.0517, t:0.2464
  63: x:-1.2797, y:1.6965, t:0.2340
  64: x:-1.2492, y:1.3088, t:0.2144
  65: x:-1.2901, y:1.0686, t:0.3037
  66: x:-1.3122, y:1.0615, t:0.3674
  67: x:-1.2726, y:0.7917, t:0.3638
  68: x:-1.2620, y:1.0600, t:0.2104
  69: x:-1.2942, y:0.9037, t:0.3772
  70: x:-1.3188, y:0.7548, t:0.3880
  71: x:-1.3182, y:0.5615, t:0.3242
  72: x:-1.2516, y:0.6287, t:0.3170
  73: x:-1.2813, y:0.9329, t:0.2349
  74: x:-1.3154, y:0.9739, t:0.2356
  75: x:-1.3288, y:1.2424, t:0.1656
  76: x:-1.3229, y:2.0730, t:0.0897
  77: x:-1.3082, y:2.3918, t:0.1786
  78: x:-1.2480, y:3.0298, t:0.4705
  79: x:-1.2687, y:2.7349, t:0.3729
  80: x:1.2898, y:2.6020, t:-0.2576
  81: x:-0.7302, y:6.7422, t:0.5539
  82: x:-1.2709, y:3.2205, t:0.6082
  83: x:1.2809, y:2.3159, t:-0.2321
  84: x:1.2654, y:1.2610, t:-0.4379
  85: x:1.2751, y:1.9236, t:-0.3728
  86: x:1.2423, y:-0.0218, t:-0.5600
  87: x:1.2802, y:2.4164, t:0.1017
  88: x:1.2650, y:2.2374, t:0.1508
  89: x:1.3179, y:2.2658, t:0.1649
  90: x:1.2571, y:2.2336, t:0.1798
  91: x:0.6348, y:-0.7725, t:-0.7312
  92: x:1.2455, y:2.1772, t:0.3634
  93: x:1.2738, y:1.7138, t:0.1460
  94: x:1.2591, y:1.5939, t:0.1073
  95: x:1.2568, y:2.2772, t:0.3888
  96: x:0.2984, y:-0.7508, t:-0.8057
  97: x:0.1581, y:-0.7833, t:-0.7374
  98: x:1.2911, y:1.6303, t:0.0986
  99: x:1.2519, y:1.0698, t:-0.3228
 100: x:-1.2808, y:1.9174, t:0.7912
