   1: x:-1.8016, y:1.8791, t:0.9951
   2: x:-1.8216, y:2.2443, t:0.8251
   3: x:-1.8202, y:1.6693, t:0.9991
   4: x:-1.7526, y:1.7415, t:0.9908
   5: x:-1.7961, y:2.2993, t:0.9395
   6: x:-1.8185, y:2.3605, t:0.9999
   7: x:-1.7916, y:2.3592, t:0.8594
   8: x:-1.7972, y:1.9788, t:0.9971
   9: x:-1.8286, y:2.9567, t:0.9327
  10: x:0.0095, y:2.7873, t:0.7439
  11: x:-1.7894, y:2.4163, t:0.8820
  12: x:0.7341, y:3.7364, t:0.8291
  13: x:0.7395, y:3.9338, t:0.8768
  14: x:1.7718, y:2.8981, t:0.2629
  15: x:1.7919, y:0.4405, t:-0.3298
  16: x:1.7448, y:0.6453, t:-0.1008
  17: x:1.1221, y:-0.8312, t:-0.5334
  18: x:0.8854, y:-0.8362, t:-0.4323
  19: x:1.0737, y:-0.7779, t:-0.6140
  20: x:0.2465, y:-0.8196, t:-0.5753
  21: x:0.2005, y:-0.7439, t:-0.5379
  22: x:1.4709, y:-0.7448, t:-0.5013
  23: x:0.2701, y:-0.7719, t:-0.5268
  24: x:1.0120, y:-0.7547, t:-0.5227
  25: x:1.3487, y:-0.7582, t:-0.5909
  26: x:1.4824, y:-0.8089, t:-0.5239
  27: x:1.7442, y:-0.2051, t:-0.2905
  28: x:1.2519, y:-0.7420, t:-0.4470
  29: x:0.3723, y:-0.7894, t:-0.5683
  30: x:0.8546, y:-0.8067, t:-0.5561
  31: x:1.6216, y:-0.8263, t:-0.5059
  32: x:1.7889, y:-0.0621, t:-0.2968
  33: x:0.7687, y:-0.7748, t:-0.5625
  34: x:1.6867, y:-0.7721, t:-0.6109
  35: x:1.7661, y:-0.1129, t:-0.4465
  36: x:1.7512, y:0.1021, t:-0.4220
  37: x:1.8009, y:0.3908, t:-0.3516
  38: x:1.8250, y:0.3073, t:-0.3888
  39: x:1.8001, y:0.7195, t:-0.1455
  40: x:1.7614, y:0.7781, t:-0.2850
  41: x:1.7713, y:0.7431, t:-0.3046
  42: x:1.7855, y:1.0443, t:-0.2006
  43: x:1.7754, y:1.1129, t:-0.2554
  44: x:1.7795, y:1.0328, t:-0.1585
  45: x:1.7743, y:1.5818, t:-0.1081
  46: x:1.7608, y:1.3278, t:-0.1731
  47: x:1.7601, y:1.1273, t:-0.2090
  48: x:1.7552, y:1.4700, t:-0.1121
  49: x:1.8096, y:1.0104, t:-0.3622
  50: x:1.7412, y:1.4898, t:-0.2327
  51: x:1.7565, y:1.1712, t:-0.2128
  52: x:1.7740, y:1.4060, t:-0.2414
  53: x:1.8078, y:0.7270, t:-0.4585
  54: x:1.7468, y:1.1140, t:-0.3523
  55: x:1.7943, y:0.7159, t:-0.5346
  56: x:1.7490, y:1.3043, t:-0.2201
  57: x:1.7838, y:1.2414, t:-0.2087
  58: x:1.7554, y:0.9875, t:-0.3418
  59: x:1.8042, y:0.7061, t:-0.6182
  60: x:1.8145, y:0.9599, t:-0.5023
  61: x:1.7763, y:1.2969, t:-0.2785
  62: x:1.7660, y:0.8495, t:-0.5897
  63: x:1.7784, y:1.2274, t:-0.5053
  64: x:1.7544, y:1.3726, t:-0.3302
  65: x:1.7630, y:2.0825, t:-0.2681
  66: x:1.7937, y:2.9192, t:-0.2322
  67: x:1.7710, y:1.8004, t:-0.4133
  68: x:1.7480, y:2.6383, t:-0.2224
  69: x:1.7622, y:1.7147, t:-0.6459
  70: x:1.8248, y:1.8075, t:-0.6688
  71: x:1.7571, y:2.0261, t:-0.7041
  72: x:1.8234, y:2.5935, t:-0.4821
  73: x:1.7984, y:2.6431, t:-0.6028
  74: x:1.7443, y:2.9614, t:-0.4055
  75: x:1.7747, y:3.4233, t:-0.4205
  76: x:1.7537, y:3.1177, t:-0.3458
  77: x:1.8126, y:3.5168, t:-0.4000
  78: x:1.7695, y:2.7164, t:-0.3038
  79: x:1.7792, y:2.9001, t:-0.2256
  80: x:1.7613, y:3.7631, t:-0.1996
  81: x:0.6497, y:2.8022, t:-0.1529
  82: x:0.6003, y:2.8375, t:-0.0999
  83: x:1.7705, y:3.4235, t:-0.4041
  84: x:1.7418, y:4.0228, t:-0.1691
  85: x:0.7237, y:3.0588, t:0.0410
  86: x:0.0461, y:6.7666, t:0.4219
  87: x:1.7578, y:3.4323, t:-0.1653
  88: x:0.5670, y:-0.7778, t:0.9210
  89: x:1.7722, y:3.8961, t:-0.1852
  90: x:1.7425, y:3.7891, t:-0.1424
  91: x:0.4646, y:2.7544, t:0.1557
  92: x:0.6146, y:2.7794, t:0.0389
  93: x:0.7261, y:2.9231, t:0.2331
  94: x:-0.7549, y:3.3883, t:0.3060
  95: x:0.5580, y:2.8332, t:0.3435
  96: x:0.7394, y:3.0068, t:0.2436
  97: x:-0.7258, y:2.9352, t:0.3014
  98: x:-0.2179, y:2.7628, t:0.4420
  99: x:0.7527, y:2.9884, t:0.0214
 100: x:0.7154, y:2.8696, t:-0.0254
