   1: x:1.8100, y:5.2033, t:-0.8264
   2: x:-0.8180, y:4.7879, t:-0.8323
   3: x:1.7440, y:3.9096, t:0.9434
   4: x:0.2152, y:2.7659, t:0.8842
   5: x:-1.7550, y:1.7503, t:-0.2937
   6: x:-1.7447, y:1.4386, t:-0.4625
   7: x:-0.4963, y:2.7608, t:0.9027
   8: x:-1.7531, y:1.4020, t:-0.5216
   9: x:0.4461, y:2.7499, t:0.9772
  10: x:1.7536, y:2.7045, t:0.9973
  11: x:0.5335, y:2.7609, t:0.9288
  12: x:1.7982, y:3.2925, t:0.9984
  13: x:1.7895, y:3.0728, t:0.9699
  14: x:0.6087, y:2.7791, t:0.9478
  15: x:-1.7641, y:2.8890, t:-0.2325
  16: x:-0.1088, y:2.7653, t:0.8801
  17: x:-1.8090, y:0.9259, t:-0.0703
  18: x:-1.8024, y:0.9161, t:-0.0053
  19: x:-1.7726, y:0.8977, t:-0.0259
  20: x:-1.7927, y:0.6930, t:0.0334
  21: x:-0.7542, y:2.9670, t:-0.8541
  22: x:-1.7524, y:0.5383, t:-0.0113
  23: x:-1.8202, y:0.7424, t:-0.0224
  24: x:-1.7745, y:0.5092, t:0.0753
  25: x:-1.7810, y:0.5841, t:-0.0128
  26: x:-1.8135, y:0.4126, t:0.0160
  27: x:-1.7800, y:1.9658, t:-0.3282
  28: x:-1.8311, y:0.4833, t:0.0936
  29: x:-1.7917, y:-0.1869, t:0.3085
  30: x:-1.7727, y:-0.6189, t:0.3511
  31: x:-0.8170, y:-0.7898, t:0.4065
  32: x:-1.7638, y:0.3933, t:0.1172
  33: x:-1.7946, y:0.5401, t:0.0522
  34: x:-1.7817, y:1.0436, t:0.1941
  35: x:-1.7535, y:1.7435, t:-0.0136
  36: x:-0.7552, y:4.6501, t:-0.0245
  37: x:-1.0770, y:4.7945, t:0.1115
  38: x:-0.2138, y:2.7702, t:0.3253
  39: x:0.4162, y:2.7487, t:0.9373
  40: x:-1.7951, y:2.3154, t:0.8421
  41: x:0.5877, y:2.7822, t:0.9859
  42: x:0.7414, y:3.0807, t:0.9690
  43: x:1.7752, y:1.1895, t:0.3051
  44: x:1.7696, y:1.1115, t:0.6026
  45: x:1.7687, y:0.7469, t:0.4222
  46: x:1.7558, y:2.0045, t:-0.5339
  47: x:0.9742, y:-0.7990, t:0.9937
  48: x:1.7725, y:2.0845, t:-0.5527
  49: x:1.7445, y:0.5325, t:0.3871
  50: x:1.7522, y:1.4797, t:0.5019
  51: x:0.5388, y:2.8284, t:0.4376
  52: x:1.7606, y:1.4829, t:0.7341
  53: x:1.7514, y:1.4002, t:0.7654
  54: x:1.7711, y:1.1943, t:0.6509
  55: x:1.8197, y:2.9518, t:-0.4488
  56: x:1.8272, y:0.8367, t:0.6634
  57: x:1.7524, y:2.7581, t:-0.6004
  58: x:1.7789, y:0.8340, t:0.4639
  59: x:1.7717, y:0.8559, t:0.8214
  60: x:1.8218, y:0.2657, t:0.4141
  61: x:1.7534, y:2.2213, t:0.8916
  62: x:1.7851, y:6.6459, t:-0.6662
  63: x:1.7526, y:1.8526, t:0.1176
  64: x:1.7495, y:2.3283, t:-0.8553
  65: x:0.5313, y:6.7771, t:-0.2803
  66: x:1.7444, y:0.8304, t:0.7436
  67: x:1.7628, y:1.8753, t:0.9196
  68: x:-1.7700, y:-0.4403, t:0.8538
  69: x:-0.2582, y:2.7470, t:-0.2306
  70: x:-1.8066, y:0.0266, t:0.5607
  71: x:1.7909, y:2.8106, t:-0.7194
  72: x:-1.8149, y:0.8159, t:0.5596
  73: x:-0.5284, y:2.7947, t:-0.4392
  74: x:-1.7740, y:0.5959, t:0.4725
  78: x:1.7696, y:2.0820, t:-0.8110
  79: x:1.7967, y:2.8765, t:-0.8060
  80: x:-1.7471, y:1.2250, t:0.4112
  81: x:-1.7683, y:0.7173, t:0.4662
  82: x:-0.2447, y:-0.7461, t:0.9182
  83: x:-0.5872, y:2.7837, t:0.1483
  84: x:-0.6514, y:2.8163, t:-0.7780
  85: x:0.3341, y:2.7677, t:0.8743
  86: x:-1.3146, y:4.7484, t:-0.2844
  87: x:-0.4722, y:2.8037, t:0.9395
  88: x:1.7534, y:1.0224, t:-0.8004
  89: x:-1.7620, y:0.8645, t:0.6514
  90: x:-1.7674, y:1.6273, t:0.7164
  91: x:-1.7924, y:1.8117, t:0.4188
  92: x:-1.7466, y:1.2474, t:0.6978
  93: x:-1.7775, y:1.3245, t:0.7112
  94: x:-1.8107, y:2.1334, t:0.6211
  95: x:-1.7581, y:1.2730, t:0.6937
  96: x:-1.7991, y:2.6028, t:0.6307
  97: x:-1.7440, y:1.5217, t:0.4385
  98: x:-1.7522, y:1.0779, t:0.7664
