   1: x:-0.7759, y:-0.8100, t:0.5695
   2: x:-0.7011, y:-0.7629, t:0.6827
   3: x:-0.9590, y:-0.7726, t:0.6126
   4: x:-1.0870, y:-0.7930, t:0.5716
   5: x:-0.7479, y:-0.7435, t:0.6661
   6: x:-1.1589, y:-0.7911, t:0.6222
   7: x:-0.9543, y:-0.8240, t:0.5825
   8: x:-1.0784, y:-0.7485, t:0.5405
   9: x:-1.1102, y:-0.8368, t:0.5915
  10: x:-0.9565, y:-0.7464, t:0.5970
  11: x:-1.2073, y:-0.8246, t:0.5286
  12: x:-0.9641, y:-0.7959, t:0.6517
  13: x:-1.2886, y:0.0312, t:0.2441
  14: x:-1.1575, y:-0.7729, t:0.5081
  15: x:-1.2535, y:-0.3378, t:0.3444
  16: x:-1.2648, y:-0.2929, t:0.2217
  17: x:-1.2632, y:0.3943, t:0.0228
  18: x:-1.2468, y:1.5561, t:-0.4697
  19: x:-0.6157, y:2.8020, t:-0.6954
  20: x:-1.2504, y:1.7487, t:-0.4568
  21: x:-0.4832, y:2.8126, t:-0.6685
  22: x:-0.3985, y:2.8131, t:-0.6226
  23: x:-0.2575, y:2.8004, t:-0.6148
  24: x:-0.4490, y:2.8181, t:-0.5600
  25: x:0.4571, y:2.7413, t:-0.6471
  26: x:-0.3012, y:2.7865, t:-0.5394
  27: x:-0.0100, y:2.8116, t:-0.5255
  28: x:0.1207, y:2.7939, t:-0.5000
  29: x:0.1562, y:2.8121, t:-0.4820
  30: x:-0.0772, y:2.8046, t:-0.3652
  31: x:-0.0863, y:2.7466, t:-0.3485
  32: x:0.5273, y:2.7568, t:-0.4386
  33: x:1.2930, y:3.2371, t:-0.4980
  34: x:1.2515, y:2.4284, t:-0.4562
  35: x:1.3006, y:1.7633, t:-0.4952
  36: x:1.3130, y:1.2657, t:-0.5185
  37: x:1.2879, y:0.9286, t:-0.4818
  38: x:1.2666, y:0.5584, t:-0.4268
  39: x:1.2813, y:0.6722, t:-0.4363
  40: x:1.2984, y:0.5042, t:-0.3877
  41: x:1.2554, y:0.1810, t:-0.4158
  42: x:1.2420, y:0.5452, t:-0.4513
  43: x:1.2465, y:0.1734, t:-0.2328
  44: x:1.2928, y:0.1872, t:-0.3365
  45: x:1.3145, y:0.0896, t:0.1393
  46: x:1.3028, y:-0.4877, t:0.0379
  47: x:1.2801, y:0.1038, t:0.0661
  48: x:1.3030, y:-0.1731, t:0.0404
  49: x:1.2970, y:-0.0924, t:0.1697
  50: x:1.2610, y:0.0262, t:0.1254
  51: x:1.2833, y:-0.2179, t:0.1894
  52: x:1.2685, y:-0.5468, t:0.0994
  53: x:1.3227, y:0.0436, t:0.0503
  54: x:1.2700, y:-0.1877, t:0.0019
  55: x:1.2494, y:-0.2562, t:0.0263
  56: x:1.2760, y:-0.3027, t:-0.0362
  57: x:1.0887, y:-0.7447, t:-0.3659
  58: x:1.0686, y:-0.7717, t:-0.3947
  59: x:1.1401, y:-0.8200, t:-0.3287
  60: x:1.0014, y:-0.8163, t:-0.3840
  61: x:0.9870, y:-0.8124, t:-0.5191
  62: x:1.1697, y:-0.7606, t:-0.3609
  63: x:1.0516, y:-0.7575, t:-0.5628
  64: x:1.2429, y:2.4834, t:0.0859
  65: x:1.2436, y:-0.2375, t:-0.7865
  66: x:1.2469, y:0.5090, t:-0.7667
  67: x:1.2471, y:0.4718, t:-0.7606
  68: x:1.2661, y:1.4765, t:-0.6307
  69: x:1.2608, y:1.3331, t:-0.8327
  70: x:1.2513, y:1.3960, t:0.8713
  71: x:1.2608, y:1.6831, t:-0.8302
  72: x:1.2667, y:1.4041, t:0.8837
  73: x:1.2547, y:1.7394, t:0.8947
  74: x:1.2482, y:1.7507, t:0.8919
  75: x:1.2449, y:2.0291, t:0.9184
  76: x:1.2511, y:2.3979, t:0.9261
