   1: x:1.2829, y:-0.4916, t:0.1873
   2: x:1.3383, y:-0.2888, t:0.2217
   3: x:1.2859, y:-0.2469, t:0.1619
   4: x:1.3193, y:-0.1268, t:0.1505
   5: x:1.2434, y:0.1443, t:0.1140
   6: x:1.2863, y:0.0159, t:0.1443
   7: x:1.3057, y:-0.0525, t:0.1474
   8: x:1.2993, y:0.3752, t:0.1717
   9: x:1.2477, y:0.1976, t:0.1676
  10: x:1.2826, y:0.6493, t:0.1889
  11: x:1.2992, y:0.8316, t:0.2172
  12: x:1.2679, y:0.7310, t:0.2387
  13: x:1.2725, y:0.8285, t:0.2807
  14: x:1.2438, y:0.8797, t:0.3457
  15: x:0.2715, y:-0.7866, t:0.9917
  16: x:1.2657, y:4.5219, t:0.8230
  17: x:1.2580, y:1.7863, t:0.5575
  18: x:0.6867, y:2.8250, t:0.8076
  19: x:0.6306, y:2.8489, t:0.7945
  20: x:0.5581, y:2.8329, t:0.8525
  21: x:0.5147, y:-0.7782, t:0.9998
  22: x:0.4981, y:2.7854, t:0.9329
  23: x:1.2598, y:-0.2640, t:0.8788
  24: x:1.3034, y:-0.4862, t:0.8921
  25: x:1.2961, y:-0.2441, t:-0.8442
  26: x:1.2739, y:-0.3508, t:0.8711
  27: x:1.3378, y:-0.4415, t:-0.8567
  28: x:1.3185, y:-0.2745, t:-0.8207
  29: x:1.3025, y:-0.7557, t:-0.8032
  30: x:1.2645, y:-0.3593, t:-0.7936
  31: x:0.0798, y:-0.7993, t:0.9994
  32: x:0.7783, y:-0.7482, t:0.9342
  33: x:0.2337, y:-0.7820, t:0.9985
  34: x:-0.3613, y:-0.8183, t:0.9825
  35: x:-0.2535, y:-0.7766, t:0.9946
  36: x:-0.3651, y:-0.7508, t:0.9702
  37: x:-0.3417, y:-0.8133, t:0.9810
  38: x:-0.4850, y:-0.7469, t:0.9581
  39: x:-0.6671, y:-0.7674, t:0.9204
  40: x:-0.6127, y:-0.7621, t:0.9295
  41: x:-1.0659, y:-0.7887, t:0.8880
  42: x:-1.2639, y:-0.5191, t:0.8732
  43: x:-1.3084, y:-0.7673, t:0.8551
  44: x:-1.3285, y:-0.5654, t:0.7900
  45: x:-1.2539, y:-0.2225, t:0.7399
  46: x:-1.2894, y:-0.5274, t:0.7477
  47: x:-0.8513, y:-0.7475, t:0.6532
  48: x:-1.3122, y:-0.6807, t:0.7114
  49: x:-1.2675, y:-0.7771, t:0.6738
  50: x:-1.2464, y:0.0990, t:0.5686
  51: x:-1.2859, y:-0.4486, t:0.5877
  52: x:-1.1554, y:-0.7655, t:0.5736
  53: x:-1.0854, y:-0.8061, t:0.4966
  54: x:-1.0772, y:-0.7564, t:0.4182
  55: x:-1.0869, y:-0.7956, t:0.3749
  56: x:-0.9715, y:-0.8113, t:0.4448
  57: x:-0.9944, y:-0.8033, t:0.2915
  58: x:-1.3304, y:-0.4933, t:0.3602
  59: x:-1.0185, y:-0.7771, t:0.2989
  60: x:-0.6253, y:-0.7498, t:0.3117
  61: x:-1.0712, y:-0.7941, t:0.2768
  62: x:-0.6152, y:-0.8251, t:0.3269
  63: x:-0.9268, y:-0.8144, t:0.1897
  64: x:-0.8122, y:-0.8015, t:0.2335
  65: x:-1.0243, y:-0.7963, t:0.2010
  66: x:-0.7251, y:-0.8079, t:0.2072
  67: x:-0.6188, y:-0.8170, t:0.2181
  68: x:-0.7868, y:-0.7670, t:0.2050
  69: x:-0.6434, y:-0.7413, t:0.1915
  70: x:-0.7384, y:-0.8139, t:0.1805
  71: x:-0.4668, y:-0.7845, t:0.1939
  72: x:-0.4788, y:-0.7871, t:0.1753
  73: x:-0.3589, y:-0.7671, t:0.1872
  74: x:-0.4851, y:-0.7584, t:0.1861
  75: x:-0.6557, y:-0.8126, t:0.1722
  76: x:-0.3591, y:-0.7912, t:0.1685
  77: x:-0.1862, y:-0.7527, t:0.1272
  78: x:-0.3819, y:-0.7513, t:0.1520
  79: x:-0.0895, y:-0.7558, t:0.1138
  80: x:-0.2541, y:-0.7989, t:0.1072
  81: x:-0.1811, y:-0.7535, t:0.1109
  82: x:0.0883, y:-0.7820, t:0.0732
  83: x:0.0327, y:-0.7709, t:0.0673
  84: x:0.0926, y:-0.7444, t:0.0792
  85: x:0.0628, y:-0.7618, t:0.0717
  86: x:0.0709, y:-0.7476, t:0.0598
  87: x:0.1229, y:-0.7737, t:0.0623
  88: x:0.0845, y:-0.7529, t:0.0695
  89: x:0.1912, y:-0.7508, t:0.0492
  90: x:0.1898, y:-0.7449, t:0.0718
  91: x:0.1824, y:-0.7443, t:0.0589
  92: x:0.2153, y:-0.7465, t:0.0552
  93: x:0.0329, y:-0.7411, t:0.0284
  94: x:0.1490, y:-0.7500, t:0.0411
  97: x:0.0691, y:-0.7413, t:0.0306
