  70: x:1.2704, y:2.2840, t:-0.7651
  73: x:-0.1991, y:2.7495, t:-0.0879
  74: x:-1.2688, y:2.2839, t:0.4873
  76: x:-1.2567, y:2.6756, t:0.2779
  78: x:-1.2599, y:1.5691, t:0.5153
  79: x:0.0163, y:2.7905, t:-0.2869
  87: x:1.2724, y:0.7799, t:0.8987
  89: x:1.2620, y:0.4544, t:0.9057
  90: x:1.2828, y:0.2230, t:0.9215
  91: x:1.2446, y:0.4699, t:0.8921
  92: x:1.2735, y:0.3761, t:0.8967
  93: x:1.3256, y:0.4054, t:0.9060
  94: x:1.2512, y:0.4814, t:0.8982
  95: x:1.2677, y:0.2707, t:0.9258
  96: x:1.3148, y:0.4305, t:0.8826
  97: x:1.3133, y:0.2801, t:0.8738
  98: x:1.2555, y:0.1661, t:0.8942
  99: x:1.3129, y:0.1265, t:0.9262
 100: x:1.3129, y:-0.0682, t:0.9256
