   1: x:1.3145, y:0.3123, t:-0.5623
   2: x:1.3081, y:0.4350, t:-0.5902
   3: x:1.2513, y:0.5759, t:-0.5131
   4: x:1.3208, y:0.6901, t:-0.5452
   5: x:1.3079, y:0.5853, t:-0.5617
   6: x:1.2463, y:0.5738, t:-0.5730
   7: x:1.3253, y:0.6379, t:-0.5929
   8: x:1.3070, y:0.8095, t:-0.5665
   9: x:1.2451, y:0.7743, t:-0.5559
  10: x:1.2788, y:0.7020, t:-0.5856
  11: x:1.3073, y:1.0061, t:-0.6021
  12: x:1.3141, y:1.0504, t:-0.6575
  13: x:1.3162, y:1.2117, t:-0.6937
  14: x:1.3006, y:1.1253, t:-0.7128
  15: x:1.2480, y:1.2303, t:-0.6877
  16: x:1.2866, y:1.6000, t:-0.7263
  17: x:1.2857, y:1.4955, t:-0.7703
  18: x:1.2791, y:1.4174, t:-0.7842
  19: x:1.3285, y:1.6020, t:-0.7633
  20: x:1.3251, y:1.5742, t:-0.7788
  21: x:1.2879, y:1.5467, t:-0.8349
  22: x:1.3016, y:2.0455, t:-0.8289
  23: x:1.2773, y:1.9774, t:0.8676
  24: x:1.2542, y:2.9841, t:0.9546
  25: x:1.3148, y:2.9879, t:0.9740
  26: x:0.3643, y:2.8078, t:0.9087
  27: x:-0.7004, y:3.1884, t:0.9906
  28: x:-1.2507, y:2.0526, t:-0.8312
  29: x:-1.2437, y:1.0074, t:-0.5586
  30: x:-1.3005, y:1.0992, t:-0.6773
  31: x:-1.2470, y:0.5970, t:-0.4766
  32: x:-1.2725, y:1.2943, t:-0.7091
  33: x:-1.3171, y:0.8879, t:-0.6166
  34: x:-1.3163, y:0.4539, t:-0.5500
  35: x:-1.2775, y:1.0451, t:-0.6214
  36: x:-1.3117, y:0.4329, t:-0.4859
  37: x:-1.2689, y:0.5624, t:-0.5292
  38: x:-1.3124, y:0.5917, t:-0.5710
  39: x:-1.3055, y:0.5587, t:-0.5327
  40: x:-1.2828, y:0.4441, t:-0.5334
  41: x:-1.2481, y:0.6222, t:-0.5275
  42: x:-1.2912, y:0.9480, t:-0.5458
  43: x:-1.2856, y:0.6159, t:-0.5270
  44: x:-1.2947, y:1.3401, t:-0.6965
  45: x:-1.2919, y:1.0965, t:-0.5757
  46: x:-1.3311, y:0.4831, t:-0.5473
  47: x:-1.2879, y:0.4569, t:-0.4539
  48: x:-1.2554, y:1.0328, t:-0.6433
  49: x:-1.3033, y:0.4701, t:-0.5300
  50: x:-1.3021, y:0.7059, t:-0.5142
  51: x:-1.3101, y:0.8559, t:-0.5443
  52: x:-1.2626, y:0.9899, t:-0.6641
  53: x:-1.2468, y:1.3655, t:-0.6384
  54: x:-1.2901, y:0.9026, t:-0.5610
  55: x:-1.2792, y:0.9631, t:-0.6070
  56: x:-1.2473, y:1.2527, t:-0.5993
  57: x:-1.2832, y:1.5450, t:-0.4749
  58: x:-1.2556, y:1.3300, t:-0.2934
  59: x:-1.2585, y:1.1085, t:-0.1903
  60: x:-1.3247, y:0.8131, t:-0.0785
  61: x:-1.2788, y:0.7766, t:0.0047
  62: x:-1.3205, y:0.6482, t:0.0424
  63: x:-1.2790, y:0.8274, t:0.0677
  64: x:-1.3297, y:0.4234, t:0.1836
  65: x:-1.2693, y:0.6201, t:0.1508
  66: x:-1.2969, y:0.6144, t:0.2449
  67: x:-1.2746, y:0.7387, t:0.3114
  68: x:-1.2626, y:0.6681, t:0.3597
  69: x:-1.2651, y:0.6440, t:0.4009
  70: x:-1.2982, y:0.7187, t:0.5290
  71: x:-1.2580, y:0.7838, t:0.4094
  72: x:-1.2421, y:0.8452, t:0.5011
  73: x:-1.2857, y:0.7738, t:0.6097
  74: x:-1.2602, y:1.0241, t:0.7032
  75: x:-1.2733, y:2.4173, t:0.5170
  76: x:-1.2456, y:0.8663, t:0.9138
  77: x:-1.2439, y:2.1983, t:0.7899
  78: x:1.2550, y:0.1187, t:-0.7182
  79: x:1.2533, y:-0.1035, t:-0.7860
  80: x:0.1678, y:-0.7411, t:0.9771
  81: x:-0.1495, y:-0.7507, t:0.9955
  82: x:-0.0229, y:-0.7505, t:0.9804
  83: x:-0.2471, y:-0.7542, t:0.9954
  84: x:-0.4040, y:-0.7477, t:0.9979
  85: x:-0.1278, y:-0.7473, t:0.9851
  86: x:-0.4119, y:-0.7586, t:0.9987
  87: x:0.2397, y:-0.7417, t:0.9318
  88: x:1.2452, y:-0.3692, t:-0.5145
  89: x:1.2513, y:-0.5570, t:-0.6845
  90: x:1.2418, y:-0.1079, t:-0.7213
  91: x:1.2480, y:0.1998, t:-0.1932
