   1: x:1.3271, y:2.0715, t:0.9923
   2: x:1.2956, y:1.6186, t:0.9999
   3: x:1.2442, y:2.0186, t:0.9955
   4: x:1.2690, y:1.9267, t:0.9865
   5: x:1.2794, y:2.1587, t:0.9995
   6: x:1.2502, y:1.9849, t:0.9916
   7: x:1.2720, y:1.9678, t:0.9996
   8: x:1.2540, y:1.9397, t:0.9993
   9: x:1.3021, y:1.8783, t:0.9965
  10: x:1.2956, y:1.9641, t:0.9922
  11: x:1.2558, y:2.3128, t:0.9939
  12: x:1.3170, y:2.1248, t:0.9896
  13: x:1.2783, y:2.1417, t:0.9515
  14: x:-0.1748, y:2.7630, t:0.9270
  15: x:1.2914, y:2.3509, t:0.9615
  16: x:-0.0903, y:2.7970, t:0.9772
  17: x:-0.4116, y:2.7773, t:0.9716
  18: x:-0.3439, y:2.7496, t:0.9780
  19: x:-1.2447, y:1.0091, t:-0.5481
  20: x:-1.2462, y:1.2621, t:-0.6299
  21: x:-0.5909, y:2.8144, t:0.9549
  22: x:-1.2548, y:1.4515, t:-0.7219
  23: x:-1.2617, y:1.1909, t:-0.5803
  24: x:0.1872, y:2.7772, t:0.9995
  25: x:0.0829, y:2.7685, t:0.9996
  26: x:-0.6612, y:2.8098, t:0.9744
  27: x:-1.2949, y:1.0267, t:-0.5346
  28: x:1.2871, y:2.0400, t:0.9991
  29: x:1.3008, y:1.9580, t:0.9841
  30: x:1.2752, y:1.7992, t:0.9793
  31: x:1.3082, y:1.6928, t:0.9713
  32: x:1.3331, y:1.9101, t:0.9606
  33: x:1.2515, y:1.8066, t:0.9552
  34: x:1.2860, y:1.7084, t:0.9454
  35: x:1.2597, y:1.9136, t:0.9682
  36: x:1.2743, y:1.9162, t:0.9567
  37: x:1.3024, y:1.9308, t:0.9374
  38: x:1.2737, y:1.9942, t:0.9380
  39: x:1.2975, y:1.9852, t:0.9416
  40: x:1.2955, y:2.0982, t:0.9365
  41: x:1.2564, y:2.1101, t:0.9400
  42: x:1.2819, y:2.0078, t:0.9676
  43: x:1.2681, y:2.1192, t:0.9650
