   1: x:-1.2952, y:2.7760, t:0.9459
   2: x:-0.1399, y:2.7526, t:0.8507
   3: x:1.2896, y:1.2500, t:-0.0405
   4: x:0.3491, y:2.7577, t:0.6038
   5: x:0.6667, y:2.8341, t:0.6099
   6: x:1.2757, y:0.8400, t:-0.1964
   7: x:1.3296, y:0.6293, t:-0.2314
   8: x:1.2944, y:0.4027, t:-0.3053
   9: x:1.2688, y:0.2867, t:-0.2947
  10: x:1.2903, y:0.2568, t:-0.2910
  11: x:1.2611, y:0.2189, t:-0.2704
  12: x:1.3115, y:-0.1419, t:-0.2957
  13: x:1.2460, y:0.0495, t:-0.2821
  14: x:1.2517, y:0.1009, t:-0.2313
  15: x:1.2581, y:-0.1932, t:-0.2495
  16: x:1.2944, y:0.0105, t:-0.1949
  17: x:1.2434, y:-0.1574, t:-0.2244
  18: x:1.2732, y:0.1379, t:-0.2693
  19: x:1.2822, y:0.0722, t:-0.1954
  20: x:1.2876, y:-0.2253, t:-0.2914
  21: x:1.2971, y:-0.0970, t:-0.2616
  22: x:1.2976, y:0.1290, t:-0.1717
  23: x:1.2552, y:-0.0036, t:-0.1834
  24: x:1.2776, y:0.1587, t:-0.1787
  25: x:1.2836, y:-0.2434, t:-0.2587
  26: x:1.2796, y:0.0411, t:-0.2048
  27: x:1.2414, y:-0.1244, t:-0.2169
  28: x:1.2434, y:-0.1296, t:-0.2364
  29: x:1.2642, y:0.1683, t:-0.1520
  30: x:1.2699, y:0.1824, t:-0.1034
  31: x:1.2931, y:0.0997, t:-0.1201
  32: x:1.2643, y:0.1542, t:-0.1432
  33: x:1.2909, y:0.4021, t:0.0121
  34: x:1.3338, y:0.5978, t:-0.0143
  35: x:1.3087, y:0.6301, t:0.0657
  36: x:1.2535, y:0.8689, t:0.1434
  37: x:1.2435, y:1.5055, t:0.2871
  38: x:0.2990, y:2.7786, t:0.6603
  39: x:0.2865, y:2.8109, t:0.6279
  40: x:-0.3433, y:2.7690, t:0.6761
  41: x:-1.3002, y:2.5732, t:0.8790
  42: x:-1.3042, y:2.3145, t:0.9040
  43: x:-1.2867, y:1.9503, t:0.8924
  44: x:-1.2495, y:2.0504, t:0.8819
  45: x:-1.2612, y:2.1007, t:0.8771
  46: x:-1.2893, y:1.7280, t:0.9177
  47: x:-1.2947, y:1.6723, t:0.8911
  48: x:-1.3090, y:1.2824, t:0.8883
  49: x:-1.2733, y:1.2290, t:0.8859
  50: x:-1.3014, y:1.1329, t:0.9040
  51: x:-1.2660, y:1.2939, t:0.9165
  52: x:-1.2679, y:1.4884, t:0.8958
  53: x:-1.2635, y:1.5785, t:0.9194
  54: x:-1.2521, y:1.1521, t:0.9223
  55: x:-1.2865, y:1.5290, t:0.9461
  56: x:-1.2863, y:1.3646, t:0.9136
  57: x:-1.2995, y:1.4547, t:0.9128
  58: x:-1.2594, y:1.2339, t:0.8899
  59: x:-1.2926, y:1.2865, t:0.8881
  60: x:-1.2993, y:1.4262, t:0.8595
  61: x:-1.2445, y:1.4186, t:0.8532
  62: x:-1.2705, y:1.4128, t:0.9386
