   1: x:-0.1653, y:-0.7708, t:0.8896
   2: x:-1.2527, y:0.0406, t:0.4286
   3: x:-1.3403, y:0.6907, t:-0.6123
   4: x:-1.3372, y:0.7812, t:-0.6725
   5: x:-1.2452, y:0.6555, t:-0.6467
   6: x:-1.2639, y:0.2925, t:-0.5890
   7: x:-1.3066, y:1.2401, t:-0.6472
   8: x:-1.2510, y:0.4563, t:-0.5427
   9: x:-1.3181, y:0.4880, t:-0.5706
  10: x:-1.2429, y:0.3164, t:-0.4972
  11: x:-1.2432, y:0.5228, t:-0.4376
  12: x:-1.3113, y:0.6746, t:-0.5384
  13: x:-1.3340, y:0.3664, t:-0.4645
  14: x:-1.2724, y:0.2825, t:-0.4381
  15: x:-1.2787, y:0.6354, t:-0.5154
  16: x:-1.3344, y:0.5424, t:-0.5100
  17: x:1.3218, y:2.4145, t:0.9415
  18: x:0.4813, y:2.5612, t:-0.7747
  19: x:1.2456, y:2.5551, t:0.8867
  20: x:1.3144, y:1.9376, t:0.8864
  21: x:1.3162, y:2.3142, t:-0.8218
  22: x:0.9918, y:2.5893, t:-0.7375
  23: x:0.3745, y:2.5758, t:-0.5179
  24: x:1.2886, y:2.3409, t:-0.7981
  25: x:0.1981, y:2.5483, t:-0.4920
  26: x:-0.3548, y:2.6000, t:-0.3272
  27: x:-0.7218, y:2.9169, t:-0.3048
  28: x:0.1353, y:2.5789, t:-0.4425
  29: x:0.5861, y:2.5427, t:-0.5333
  30: x:0.3575, y:2.6092, t:-0.4807
  31: x:1.2930, y:2.5416, t:-0.6439
  32: x:1.2509, y:2.1899, t:-0.5990
  33: x:0.2041, y:2.5888, t:-0.3279
  34: x:1.2507, y:2.4982, t:-0.5789
  35: x:0.7227, y:2.5433, t:-0.4660
  36: x:0.2201, y:2.5709, t:-0.2846
  37: x:0.3858, y:2.5721, t:-0.3177
  38: x:0.3944, y:2.5544, t:-0.3480
  39: x:0.4512, y:2.5642, t:-0.3479
  40: x:0.9121, y:2.5603, t:-0.4533
  41: x:0.4635, y:2.6147, t:-0.2926
  42: x:0.5371, y:2.5604, t:-0.2882
  43: x:0.5877, y:2.5846, t:-0.2758
  44: x:-0.0718, y:2.5944, t:-0.0546
  45: x:0.0064, y:2.5535, t:0.0539
  46: x:0.3848, y:2.6061, t:-0.0782
  47: x:0.1518, y:2.6019, t:0.0471
  48: x:0.0728, y:2.5904, t:0.0644
  49: x:0.1835, y:2.5688, t:0.0830
  50: x:-0.1030, y:2.5774, t:0.1438
  51: x:-0.1534, y:2.5940, t:0.2103
  52: x:0.0806, y:2.5653, t:0.1703
  53: x:-0.1395, y:2.5671, t:0.2525
  54: x:-0.1862, y:2.6242, t:0.1612
  55: x:-0.0947, y:2.5511, t:0.3028
  56: x:-0.1377, y:2.6357, t:0.2758
  57: x:-0.7259, y:2.6279, t:0.3646
  58: x:-0.4606, y:2.5812, t:0.3607
  59: x:-0.7735, y:2.5642, t:0.3938
  60: x:-0.1780, y:2.6316, t:0.2922
  61: x:-0.6262, y:2.5509, t:0.2780
  62: x:-1.2504, y:3.3772, t:0.4146
  63: x:-1.2468, y:2.8551, t:0.2302
  64: x:-0.6132, y:2.7725, t:0.2927
  65: x:-0.5228, y:2.7961, t:0.1793
  66: x:-0.9103, y:2.5875, t:0.0872
  67: x:-0.2430, y:2.6175, t:0.0239
  68: x:-0.6239, y:2.5882, t:-0.0214
  69: x:-0.6857, y:2.5955, t:-0.0840
  70: x:0.2550, y:2.5634, t:-0.3112
  71: x:0.0677, y:2.6174, t:-0.3616
  72: x:0.1318, y:2.6064, t:-0.3501
  73: x:0.0354, y:2.6385, t:-0.3286
  74: x:1.2587, y:2.0214, t:-0.5785
  75: x:1.2982, y:1.8239, t:-0.6792
  76: x:1.2927, y:2.6981, t:-0.7147
  77: x:1.2617, y:1.2632, t:-0.5184
  78: x:1.2567, y:1.6615, t:-0.5645
  79: x:0.3897, y:2.5588, t:-0.3972
  80: x:1.2185, y:2.5511, t:-0.4259
  81: x:1.3166, y:1.1574, t:-0.5926
  82: x:1.3227, y:1.1073, t:-0.5326
  83: x:1.2533, y:0.9512, t:-0.5030
  84: x:1.2572, y:0.4365, t:-0.4113
  85: x:1.2539, y:0.3831, t:-0.4795
  86: x:1.2570, y:0.8421, t:-0.3982
  87: x:1.2764, y:0.8448, t:-0.3973
  88: x:1.2769, y:0.3585, t:-0.5714
  89: x:1.2825, y:0.4932, t:-0.5952
  90: x:1.2664, y:0.4148, t:-0.4911
  91: x:1.3177, y:0.2303, t:-0.5436
  92: x:1.2724, y:0.0474, t:-0.5834
  93: x:1.3040, y:-0.1311, t:-0.5905
  94: x:1.3156, y:-0.1937, t:-0.6184
  95: x:1.2440, y:0.0210, t:-0.5485
  96: x:1.2755, y:0.2901, t:-0.4615
  97: x:1.2780, y:0.2101, t:-0.5600
  98: x:1.2524, y:-0.0600, t:-0.5889
  99: x:1.2711, y:0.0543, t:-0.5976
 100: x:1.2461, y:0.1395, t:-0.5498
