   1: x:1.2423, y:0.2281, t:-0.2174
   2: x:1.2720, y:2.2336, t:-0.4777
   3: x:-1.2474, y:2.1308, t:0.3397
   4: x:-1.2866, y:0.6862, t:0.3190
   6: x:-0.3803, y:-0.7847, t:0.2818
   7: x:-0.6196, y:-0.7813, t:0.4789
   8: x:-0.6246, y:-0.7559, t:0.5261
   9: x:-1.1410, y:-0.7445, t:0.2138
  10: x:-0.6865, y:-0.8092, t:0.5111
  11: x:-1.3190, y:0.2321, t:-0.1356
  12: x:-1.2723, y:0.1206, t:-0.3204
  13: x:-1.3091, y:0.0989, t:-0.3152
  14: x:-1.2835, y:0.3606, t:-0.4315
  15: x:-1.2435, y:1.4187, t:-0.6356
  16: x:-0.8557, y:2.5845, t:0.8902
  17: x:-0.5510, y:2.5652, t:0.9007
  18: x:1.3129, y:2.2302, t:0.9970
  19: x:0.7029, y:2.5630, t:0.9590
  20: x:0.4764, y:2.5589, t:0.8788
  21: x:1.3047, y:0.4975, t:-0.2920
  22: x:1.2636, y:0.8643, t:-0.1932
  23: x:1.3236, y:0.6527, t:-0.2964
  24: x:1.2925, y:2.0491, t:-0.8376
  25: x:1.3367, y:1.8223, t:-0.7052
  26: x:1.3257, y:1.6384, t:-0.7284
  27: x:1.2783, y:1.7176, t:-0.7149
  28: x:1.2710, y:1.8177, t:-0.7475
  29: x:1.3081, y:1.5389, t:-0.6519
  30: x:1.2712, y:1.5763, t:-0.7088
  31: x:1.3005, y:1.6485, t:-0.7276
  32: x:1.2476, y:1.3534, t:-0.7737
  33: x:1.2441, y:1.6544, t:-0.8072
  34: x:1.3025, y:1.4860, t:-0.8314
  35: x:1.3058, y:1.5059, t:-0.8024
  36: x:1.2638, y:1.3087, t:-0.8239
  37: x:1.2879, y:1.6197, t:-0.7725
  38: x:1.2415, y:1.4068, t:-0.7942
  39: x:1.2585, y:1.3833, t:-0.8224
  40: x:1.3020, y:1.9345, t:-0.8410
  41: x:1.2625, y:1.8420, t:-0.8078
  42: x:1.3135, y:1.5493, t:-0.8325
  43: x:1.3134, y:1.8939, t:-0.8565
  44: x:1.3116, y:1.7360, t:0.8986
  45: x:1.2893, y:1.5596, t:0.8865
  46: x:1.3121, y:1.7546, t:0.9163
  47: x:1.2489, y:1.7213, t:0.8781
  48: x:1.3059, y:1.8141, t:0.9088
  49: x:1.3050, y:1.7409, t:0.9298
  50: x:1.2984, y:1.7706, t:-0.8520
  51: x:1.3233, y:1.5501, t:0.9502
  52: x:1.2672, y:1.8963, t:0.8868
  53: x:1.2528, y:2.2848, t:-0.8522
  54: x:1.2719, y:1.8154, t:0.8863
  55: x:1.3142, y:1.7769, t:0.8813
  56: x:1.3204, y:1.8269, t:0.8809
  57: x:1.3044, y:1.8781, t:0.8987
  58: x:1.2832, y:2.1927, t:0.8902
  59: x:1.2456, y:1.9666, t:0.9255
  60: x:1.2543, y:2.0408, t:0.9267
  61: x:1.3069, y:1.8877, t:0.9290
  62: x:1.3190, y:2.0645, t:0.9299
  63: x:1.2625, y:2.1360, t:0.9364
  64: x:1.3351, y:2.0965, t:0.9298
  65: x:1.3330, y:1.9931, t:0.9115
  66: x:1.2682, y:1.8869, t:0.8788
  67: x:1.3117, y:1.8887, t:0.8999
  68: x:1.2887, y:1.7435, t:0.8668
  69: x:1.2561, y:1.7484, t:-0.8445
  70: x:1.2969, y:1.8788, t:-0.7135
  71: x:1.3093, y:0.5304, t:-0.2554
  72: x:1.2563, y:0.2982, t:-0.3844
  73: x:1.2500, y:0.3036, t:-0.2630
  74: x:1.2594, y:0.1256, t:-0.2363
  75: x:1.2529, y:0.0698, t:-0.1544
  76: x:1.3236, y:0.0365, t:-0.1876
  77: x:1.2522, y:0.3330, t:-0.1168
  78: x:1.2991, y:0.3058, t:-0.0132
  79: x:1.3313, y:0.4190, t:-0.1249
  80: x:1.2589, y:0.1580, t:-0.0701
  81: x:1.3214, y:0.3940, t:0.0682
  82: x:1.2562, y:0.3624, t:-0.0673
  83: x:1.2971, y:0.8520, t:0.0839
  84: x:1.2822, y:0.8350, t:0.0532
  85: x:1.2569, y:0.9102, t:0.0892
  86: x:1.2893, y:0.8923, t:0.1186
  87: x:1.3051, y:0.7680, t:0.1450
  88: x:1.2490, y:0.7915, t:0.2068
  89: x:1.3123, y:0.6136, t:0.1536
  90: x:1.3138, y:0.5287, t:0.1328
  91: x:1.3121, y:0.4924, t:0.0856
  92: x:1.2499, y:0.5315, t:0.0815
  93: x:1.3254, y:0.6026, t:0.1247
  94: x:1.2517, y:0.6851, t:0.1519
  95: x:1.2511, y:0.5036, t:0.1159
  96: x:1.2484, y:0.8776, t:0.2332
  97: x:1.2767, y:0.9977, t:0.1510
  98: x:1.2488, y:0.6354, t:0.1328
  99: x:1.2543, y:0.7350, t:0.1688
 100: x:1.2468, y:1.4935, t:0.4721
