   1: x:0.3435, y:-0.7908, t:-0.3617
   2: x:-0.1603, y:-0.7472, t:-0.2835
   3: x:-0.7261, y:-0.8227, t:-0.4282
   4: x:-0.1030, y:-0.8245, t:-0.3362
   5: x:-0.0160, y:-0.7581, t:-0.2359
   6: x:-0.0075, y:-0.8275, t:-0.3168
   7: x:1.2458, y:2.0378, t:0.1267
   8: x:-0.4825, y:-0.7435, t:0.8917
   9: x:1.2417, y:0.0628, t:-0.6550
  10: x:1.2550, y:-0.2303, t:-0.6013
  11: x:1.2818, y:-0.4098, t:-0.6169
  12: x:1.2543, y:-0.4755, t:-0.6073
  13: x:1.2760, y:-0.2532, t:-0.5617
  14: x:1.2686, y:-0.2147, t:-0.5274
  15: x:1.3063, y:-0.2352, t:-0.5514
  16: x:1.2476, y:-0.2378, t:-0.5692
  17: x:1.2472, y:0.0137, t:-0.5010
  18: x:1.3229, y:-0.1563, t:-0.5181
  19: x:1.2899, y:-0.0945, t:-0.4734
  20: x:1.3405, y:0.0483, t:-0.4766
  21: x:1.3105, y:-0.0016, t:-0.5428
  22: x:1.3086, y:0.2436, t:-0.5290
  23: x:1.2472, y:0.1547, t:-0.5547
  24: x:1.3161, y:0.3433, t:-0.4958
  25: x:1.2873, y:0.4844, t:-0.4834
  26: x:1.2759, y:0.4714, t:-0.4623
  27: x:1.2810, y:0.4891, t:-0.4752
  28: x:1.2936, y:0.5142, t:-0.4972
  29: x:1.2571, y:0.7029, t:-0.4806
  30: x:-1.3241, y:1.1247, t:0.3815
  31: x:-1.2592, y:1.7807, t:0.3580
  32: x:-1.2432, y:1.4562, t:0.4232
  33: x:-1.2697, y:1.2920, t:0.3522
  34: x:-1.2792, y:1.0168, t:0.3404
  35: x:-1.3108, y:1.4025, t:0.3427
  36: x:-1.2834, y:1.0975, t:0.2029
  37: x:-1.2844, y:0.8569, t:0.1570
  38: x:-1.3281, y:0.4345, t:0.2214
  39: x:-1.3089, y:0.6094, t:0.1697
  40: x:-1.2614, y:0.6864, t:0.1316
  41: x:-1.2524, y:0.6937, t:0.1341
  42: x:-1.2852, y:0.7274, t:0.1136
  43: x:-1.3137, y:0.6775, t:0.1782
  44: x:-1.3015, y:0.8222, t:0.1541
  45: x:-1.2618, y:0.7835, t:0.1869
  46: x:-1.3190, y:0.7670, t:0.2013
  47: x:-1.2559, y:0.8557, t:0.1348
  48: x:-1.2911, y:0.6666, t:0.1492
  49: x:-1.2656, y:0.6048, t:0.1754
  50: x:-1.2432, y:0.6347, t:0.1715
  51: x:-1.3162, y:0.6378, t:0.2128
  52: x:-1.3040, y:0.8154, t:0.1916
  53: x:-1.3003, y:0.8628, t:0.2059
  54: x:-1.3019, y:0.9341, t:0.1997
  55: x:-1.3115, y:1.2097, t:0.2052
  56: x:-1.2716, y:0.9204, t:0.1950
  57: x:-1.2520, y:0.9425, t:0.1767
  58: x:-1.3135, y:1.2434, t:0.1359
  59: x:-1.2528, y:1.1941, t:0.1811
  60: x:-1.2421, y:1.5100, t:0.1488
  61: x:-1.2422, y:1.3682, t:0.1871
  62: x:-1.2709, y:1.7463, t:0.0880
  63: x:-1.2808, y:1.5977, t:0.1442
  64: x:-1.2738, y:1.5952, t:0.1415
  65: x:-1.2423, y:1.7818, t:0.2067
  66: x:-1.2454, y:1.7462, t:0.2639
  67: x:-1.2654, y:1.8803, t:0.1171
  68: x:-1.2767, y:2.3235, t:0.1133
  69: x:-1.2544, y:2.6231, t:0.1251
  70: x:-1.2469, y:3.1526, t:0.2077
  71: x:-1.2544, y:3.8530, t:-0.2290
  72: x:-1.2600, y:3.8120, t:-0.2694
  73: x:-0.6998, y:4.5870, t:-0.5767
  74: x:-0.7089, y:4.4804, t:-0.5938
  75: x:-0.5112, y:2.7826, t:-0.3381
  76: x:-0.7405, y:4.1122, t:-0.4712
  77: x:-0.6532, y:2.8574, t:-0.2563
  78: x:-0.3302, y:2.7541, t:-0.2654
  79: x:-0.4773, y:2.7689, t:-0.1908
  80: x:-0.3009, y:2.7998, t:-0.2059
  81: x:-0.1875, y:2.8220, t:-0.2075
  82: x:0.3507, y:2.7419, t:-0.2314
  83: x:0.2330, y:2.7414, t:-0.4677
  84: x:1.2840, y:2.4055, t:-0.8459
  85: x:1.2556, y:1.8034, t:-0.8534
  86: x:1.2531, y:2.0880, t:-0.8445
  87: x:1.2543, y:1.9380, t:0.8927
  95: x:1.2653, y:2.3548, t:-0.8167
  96: x:1.2822, y:2.3986, t:-0.2812
  97: x:1.2534, y:2.1839, t:-0.3048
  98: x:1.3118, y:2.3767, t:-0.6559
  99: x:1.2553, y:2.4665, t:-0.6399
 100: x:1.3054, y:1.1909, t:0.2556
