   1: x:-1.2797, y:2.1309, t:1.0000
   2: x:-1.2783, y:1.9018, t:0.9656
   3: x:-1.3026, y:2.3125, t:0.9993
   4: x:-1.2531, y:2.1416, t:0.9778
   5: x:-1.2594, y:2.3497, t:0.9768
   6: x:-1.2671, y:2.2433, t:0.9511
   7: x:-0.0385, y:2.7440, t:0.9547
   8: x:-1.3255, y:2.4349, t:0.9892
   9: x:-1.3078, y:2.2934, t:0.9743
  10: x:0.0471, y:2.7415, t:0.9660
  11: x:-1.2745, y:2.4161, t:0.9812
  12: x:0.0338, y:2.7511, t:0.9544
  13: x:-0.2711, y:2.7732, t:0.9717
  14: x:-1.2448, y:2.4407, t:0.9940
  15: x:-1.2536, y:2.4835, t:0.9905
  16: x:-1.3002, y:2.6160, t:0.9948
  17: x:-1.2825, y:2.5835, t:0.9999
  18: x:-1.2738, y:2.3261, t:0.9323
  19: x:-1.2786, y:1.8720, t:0.9326
  20: x:-1.3281, y:1.7377, t:0.8918
  21: x:-1.2908, y:1.5740, t:0.8918
  22: x:-1.2510, y:1.9036, t:0.8720
  23: x:-1.3328, y:1.8002, t:0.8814
  24: x:-1.2858, y:2.1209, t:0.8771
  25: x:-1.2613, y:1.4838, t:0.8473
  26: x:-1.2510, y:1.9185, t:0.8741
  27: x:-1.3321, y:1.7351, t:0.8629
  28: x:-1.3245, y:1.3905, t:0.8580
  29: x:-1.2697, y:1.8042, t:0.8654
  30: x:-1.2939, y:1.8976, t:0.8821
  31: x:-1.3293, y:1.7691, t:0.8759
  32: x:-1.2671, y:1.8279, t:0.8330
  33: x:-1.2835, y:1.8156, t:0.8581
  34: x:-1.2612, y:2.0733, t:0.8233
  35: x:-1.2544, y:1.8026, t:0.8501
  36: x:-1.2790, y:1.9341, t:0.8633
  37: x:-1.2422, y:2.1878, t:0.8661
  38: x:-1.2508, y:2.0000, t:0.8792
  39: x:-1.3031, y:2.4027, t:0.9179
  40: x:-1.3041, y:2.4172, t:0.9140
  41: x:-1.2855, y:2.0720, t:0.8957
  42: x:-1.2826, y:2.2297, t:0.8867
  43: x:-1.3119, y:2.4943, t:0.9402
  44: x:-1.3127, y:2.4190, t:0.9646
  45: x:-1.2833, y:2.6700, t:0.9556
  46: x:-1.3334, y:2.6606, t:0.9593
  47: x:-1.3227, y:2.5334, t:0.9730
  48: x:-1.2715, y:2.4970, t:0.9437
  49: x:-1.3340, y:2.5933, t:0.9660
  50: x:-1.2951, y:2.5540, t:0.9682
  51: x:-1.2655, y:2.5161, t:0.9798
  52: x:-1.3045, y:2.5260, t:0.9632
  53: x:-1.2495, y:2.4955, t:0.9727
  54: x:-1.3119, y:2.4679, t:0.9682
  55: x:-1.2751, y:2.5067, t:0.9764
  56: x:-1.2514, y:2.6599, t:0.9817
  57: x:-1.2795, y:2.2350, t:0.9863
  58: x:-1.2744, y:2.4068, t:0.9715
  59: x:-1.2575, y:2.4553, t:0.9852
  60: x:-1.2812, y:2.5400, t:0.9879
  61: x:-1.2954, y:2.4745, t:0.9813
  62: x:-1.2832, y:2.6826, t:0.9783
  63: x:-1.2844, y:2.8792, t:0.9628
  64: x:0.6239, y:2.7759, t:0.9136
  65: x:0.7087, y:2.9300, t:0.9193
  66: x:0.6008, y:2.8528, t:0.9054
  67: x:0.0729, y:2.7959, t:0.9147
  68: x:-1.3109, y:1.7821, t:0.9309
  69: x:0.1696, y:2.7691, t:0.9625
  70: x:0.5407, y:2.7607, t:0.9164
  71: x:1.2796, y:1.1514, t:0.4969
  72: x:0.6010, y:2.7707, t:0.9236
  73: x:1.2569, y:1.2740, t:0.5341
  74: x:1.2957, y:1.0900, t:0.4780
  75: x:1.2641, y:1.4581, t:0.5754
  76: x:1.2519, y:1.6930, t:0.6197
  77: x:1.2491, y:1.1094, t:0.3841
  78: x:1.2993, y:1.2519, t:0.4287
  79: x:1.2485, y:0.9902, t:0.4528
  80: x:1.2915, y:1.1794, t:0.5609
  81: x:1.2482, y:0.6618, t:0.3843
  82: x:1.2628, y:0.3857, t:0.3778
  83: x:1.3209, y:0.3600, t:0.4008
  84: x:1.2735, y:0.7982, t:0.3728
  85: x:1.2884, y:0.7738, t:0.3037
  86: x:1.3353, y:1.0189, t:0.3207
  87: x:1.2745, y:0.4763, t:0.2165
  88: x:1.3350, y:0.8803, t:0.1088
  89: x:1.2607, y:1.2913, t:0.1722
  90: x:1.3172, y:0.9206, t:0.0734
  91: x:1.2563, y:0.9088, t:-0.0652
  92: x:1.2601, y:0.4078, t:-0.1621
  93: x:1.3248, y:1.1228, t:0.0525
  94: x:1.2513, y:0.5127, t:-0.0904
  95: x:1.2427, y:1.0099, t:-0.0520
  96: x:1.3344, y:0.9399, t:0.0112
  97: x:1.3156, y:0.9156, t:-0.0723
  98: x:1.3293, y:0.9160, t:0.0040
  99: x:1.2906, y:1.6036, t:0.1154
 100: x:1.2905, y:1.1938, t:0.0828
