   1: x:-0.3641, y:-0.7587, t:0.3433
   2: x:-0.3414, y:-0.7517, t:0.3789
   3: x:-0.1754, y:-0.7657, t:0.4733
   4: x:-0.3121, y:-0.7510, t:0.3772
   5: x:-0.2586, y:-0.7598, t:0.3805
   6: x:-0.2037, y:-0.7604, t:0.3525
   7: x:-0.1981, y:-0.7751, t:0.4454
  21: x:-0.3658, y:-0.7650, t:0.9661
  22: x:1.2594, y:-0.4399, t:1.0000
  23: x:-1.2714, y:-0.0550, t:0.3710
  24: x:0.3488, y:-0.7792, t:0.9300
  25: x:-1.2863, y:0.2551, t:0.2626
  26: x:-1.2937, y:-0.1969, t:0.3072
  27: x:-1.3047, y:0.3972, t:0.2030
  28: x:-1.2444, y:0.1446, t:0.2241
  29: x:-1.2824, y:0.1183, t:0.2275
  30: x:-1.2791, y:0.1498, t:0.2502
  31: x:-1.3104, y:0.3619, t:0.2253
  32: x:-1.2770, y:0.1475, t:0.2283
  33: x:-1.2540, y:0.3979, t:0.2127
  34: x:-1.2582, y:0.1424, t:0.2075
  35: x:-1.2473, y:-0.0626, t:0.2863
  36: x:-1.3151, y:0.0909, t:0.2586
  37: x:-1.2600, y:0.3599, t:0.2370
  38: x:-1.2912, y:0.3722, t:0.1488
  39: x:-1.3261, y:0.3745, t:0.1760
  40: x:-1.2614, y:0.5525, t:0.1181
  41: x:-1.2728, y:0.1277, t:0.2095
  42: x:-1.2807, y:1.1261, t:0.1476
  43: x:-1.2829, y:0.9912, t:0.1303
  44: x:-1.2551, y:1.1956, t:0.0760
  45: x:-1.2579, y:1.3047, t:0.0492
  46: x:-1.3076, y:1.9791, t:-0.0175
  47: x:-0.2608, y:2.8201, t:-0.3520
  48: x:0.2104, y:2.7487, t:-0.2823
  49: x:0.0666, y:2.8130, t:-0.3024
  50: x:0.2346, y:2.7751, t:-0.3394
  51: x:0.7068, y:2.9693, t:-0.3329
  52: x:1.2726, y:3.9250, t:-0.7340
  53: x:1.2868, y:3.4925, t:-0.7514
  54: x:1.2723, y:3.4028, t:-0.7853
  55: x:1.2666, y:3.3437, t:-0.7189
  56: x:1.2727, y:2.8673, t:-0.7351
  57: x:1.2484, y:2.7728, t:-0.6408
  58: x:1.2908, y:2.4173, t:-0.6229
  59: x:1.2509, y:2.2402, t:-0.6888
  60: x:1.2649, y:1.9782, t:-0.5910
  61: x:1.2628, y:1.8202, t:-0.5113
  62: x:1.2681, y:1.7033, t:-0.5947
  63: x:1.2472, y:1.8750, t:-0.6247
  64: x:1.2928, y:1.7195, t:-0.6074
  65: x:1.2592, y:1.9171, t:-0.7037
  66: x:1.2464, y:1.8902, t:-0.6819
  67: x:1.3034, y:1.8865, t:-0.7103
  68: x:1.2658, y:1.7004, t:-0.6790
  69: x:1.2477, y:1.6219, t:-0.6452
  70: x:1.2521, y:1.9966, t:-0.7589
  71: x:1.2511, y:1.6851, t:-0.6572
  72: x:1.2516, y:1.9604, t:-0.6615
  73: x:1.2901, y:1.4669, t:-0.6719
  74: x:1.2585, y:1.5200, t:-0.5053
  75: x:1.2953, y:1.3590, t:-0.5586
  76: x:1.2829, y:1.2078, t:-0.5463
  77: x:1.2666, y:1.2340, t:-0.5540
  78: x:1.2496, y:1.2585, t:-0.6205
  79: x:1.2723, y:1.0015, t:-0.5864
  82: x:1.2533, y:0.8487, t:-0.7726
